Milf|180|bf-car|gf-car|mom|2.6|limo
0|0|0|0|100|4|#1,24000,0,#3,24083.33,0,#0,24166.67,0,#3,24250,0,#3,24500,0,#1,24666.67,0,#1,24916.67,0,#0,25166.67,0,
0|0|0|0|100|4|#2,25500,0,#3,25666.67,83.33334,#1,25833.33,0,#1,26000,0,#1,26250,0,#3,26500,0,
0|0|0|0|100|4|#1,26750,0,#3,26833.33,0,#0,26916.67,0,#3,27000,0,#3,27250,0,#1,27333.33,0,#1,27583.33,0,#2,27833.33,250,
0|0|0|0|100|4|#2,28166.67,0,#3,28333.33,83.33334,#1,28500,0,#0,28666.67,0,#3,28833.33,0,#1,28916.67,0,#0,29000,0,#3,29166.67,0,
1|0|0|0|100|4|#5,29333.33,0,#2,29333.33,333.3333,#7,29416.67,0,#4,29500,0,#7,29583.33,0,#7,29833.33,0,#5,30000,0,#5,30250,0,#4,30500,0,
1|0|0|0|100|4|#6,30833.33,0,#7,31000,83.33334,#5,31166.67,0,#5,31333.33,0,#5,31583.33,0,#7,31833.33,0,
1|0|0|0|100|4|#5,32083.33,0,#7,32166.67,0,#4,32250,0,#7,32333.33,0,#7,32583.33,0,#5,32666.67,0,#5,32916.67,0,#6,33166.67,250,
1|0|0|0|100|4|#6,33500,0,#7,33666.67,83.33334,#5,33833.34,0,#4,34000,0,#7,34166.67,0,#5,34250,0,#4,34333.34,0,#7,34500,0,
0|0|0|0|100|4|#2,34666.67,666.6667,#1,35666.67,0,#3,35833.34,0,
0|0|0|0|100|4|#0,36000,166.6667,#1,36333.34,0,#2,36666.67,166.6667,#0,37000,0,#3,37083.34,0,#1,37166.67,83.33334,
0|0|0|0|100|4|#2,37333.34,0,#0,37500,0,#3,37666.67,0,#0,37833.34,0,#2,38000,0,#3,38166.67,0,#0,38333.34,0,#3,38500,0,
0|0|0|0|100|4|#2,38666.67,0,#3,38833.34,0,#2,39000,0,#0,39166.67,0,#2,39333.34,250,#1,39666.67,250,
1|0|0|0|100|4|#6,40000,666.6667,#5,41000,0,#7,41166.67,0,
1|0|0|0|100|4|#4,41333.34,166.6667,#5,41666.67,0,#6,42000,166.6667,#4,42333.34,0,#7,42416.67,0,#5,42500,83.33334,
1|0|0|0|100|4|#6,42666.67,0,#4,42833.34,0,#7,43000,0,#4,43166.67,0,#6,43333.34,0,#7,43500,0,#4,43666.67,0,#7,43833.34,0,
1|0|0|0|100|4|#6,44000,0,#7,44166.67,0,#6,44333.34,0,#4,44500,0,#6,44666.67,250,#5,45000,250,
0|0|0|0|100|4|#2,45333.34,666.6667,#1,46333.34,0,#1,46500,0,#3,46583.34,416.6667,
0|0|0|0|100|4|#3,47166.67,0,#2,47250,166.6667,#0,47500,0,#1,47833.34,250,
0|0|0|0|100|4|#0,48166.67,0,#3,48250,0,#1,48333.34,250,#2,48666.67,250,#0,49000,0,
0|0|0|0|100|4|#3,49333.34,0,#2,49500,0,#0,49666.67,0,#1,49833.34,0,#3,50000,0,#2,50166.67,0,#0,50333.34,0,#1,50500,0,
1|0|0|0|100|4|#6,50666.67,666.6667,#5,51666.67,0,#5,51833.34,0,#7,51916.67,416.6667,
1|0|0|0|100|4|#7,52500,0,#6,52583.34,166.6667,#4,52833.34,0,#5,53166.67,250,
1|0|0|0|100|4|#4,53500,0,#7,53583.34,0,#5,53666.67,250,#6,54000,250,#4,54333.34,0,
1|0|0|0|100|4|#7,54666.67,0,#6,54833.34,0,#4,55000,0,#5,55166.67,0,#7,55333.34,0,#6,55500,0,#4,55666.67,0,#5,55833.34,0,
0|0|0|0|100|4|#0,56000,0,#1,56166.67,0,#3,56333.34,0,#1,56500,0,#3,56666.67,0,#1,56833.34,0,#0,57000,0,#3,57083.34,0,#1,57166.67,0,
0|0|0|0|100|4|#0,57333.34,0,#1,57500,0,#3,57666.67,0,#1,57833.34,0,#3,58000,0,#1,58166.67,0,#0,58333.34,0,#3,58416.67,0,#1,58500,0,
0|0|0|0|100|4|#2,58666.67,0,#3,58750,0,#1,58833.34,0,#2,59000,0,#3,59083.34,0,#1,59166.67,0,#2,59333.34,0,#3,59416.67,0,#1,59500,0,#2,59666.67,0,#3,59750,0,#1,59833.34,0,
0|0|0|0|100|4|#2,60000,0,#3,60083.34,0,#1,60166.67,0,#2,60333.34,0,#3,60416.67,0,#1,60500,0,#2,60666.67,0,#3,60750,0,#1,60833.34,0,#2,61000,0,#3,61083.34,0,#1,61166.67,0,
1|0|0|0|100|4|#4,61333.34,0,#5,61500,0,#7,61666.67,0,#5,61833.34,0,#7,62000,0,#5,62166.67,0,#4,62333.34,0,#7,62416.67,0,#5,62500,0,
1|0|0|0|100|4|#4,62666.67,0,#5,62833.34,0,#7,63000,0,#5,63166.67,0,#7,63333.34,0,#5,63500,0,#4,63666.67,0,#7,63750,0,#5,63833.34,0,
1|0|0|0|100|4|#6,64000,0,#7,64083.34,0,#5,64166.67,0,#6,64333.34,0,#7,64416.67,0,#5,64500,0,#6,64666.67,0,#7,64750,0,#5,64833.34,0,#6,65000,0,#7,65083.34,0,#5,65166.67,0,
1|0|0|0|100|4|#6,65333.34,0,#7,65416.67,0,#5,65500,0,#6,65666.67,0,#7,65750,0,#5,65833.34,0,#6,66000,0,#7,66083.34,0,#5,66166.67,0,#6,66333.34,0,#7,66416.67,0,#5,66500,0,
0|0|0|0|100|4|#1,66666.67,0,#3,66750,0,#0,66833.34,0,#3,66916.67,0,#3,67166.67,0,#1,67333.34,0,#1,67583.34,0,#0,67833.34,0,
0|0|0|0|100|4|#2,68166.67,0,#3,68333.34,83.33334,#1,68500,0,#1,68666.67,0,#1,68916.67,0,#3,69166.67,0,
0|0|0|0|100|4|#1,69416.67,0,#3,69500,0,#0,69583.34,0,#3,69666.67,0,#3,69916.67,0,#1,70000,0,#1,70250,0,#2,70500,250,
0|0|0|0|100|4|#2,70833.34,0,#3,71000,0,#1,71083.34,0,#0,71166.67,0,#1,71333.34,0,#3,71500,0,#1,71583.34,0,#0,71666.67,0,#3,71833.34,0,
1|0|0|0|100|4|#5,72000,0,#2,72000,333.3333,#7,72083.34,0,#4,72166.67,0,#7,72250,0,#7,72500,0,#5,72666.67,0,#5,72916.67,0,#4,73166.67,0,
1|0|0|0|100|4|#6,73500,0,#7,73666.67,83.33334,#5,73833.34,0,#5,74000,0,#5,74250,0,#7,74500,0,
1|0|0|0|100|4|#5,74750,0,#7,74833.34,0,#4,74916.67,0,#7,75000,0,#7,75250,0,#5,75333.34,0,#5,75583.34,0,#6,75833.34,250,
1|0|0|0|100|4|#6,76166.67,0,#7,76333.34,0,#5,76416.67,0,#4,76500,0,#5,76666.67,0,#7,76833.34,0,#5,76916.67,0,#4,77000,0,#7,77166.67,0,
0|0|0|0|100|4|#6,77333.34,666.6667,#2,77333.34,666.6667,#4,78333.34,0,#1,78333.34,0,#6,78500,0,#3,78500,0,
0|0|0|0|100|4|#6,78666.67,166.6667,#0,78666.67,166.6667,#7,79000,0,#1,79000,0,#5,79333.34,166.6667,#2,79333.34,166.6667,#7,79666.67,0,#0,79666.67,0,#4,79750,0,#3,79750,0,#1,79833.34,83.33334,#5,79833.34,83.33334,
0|0|0|0|100|4|#6,80000,0,#2,80000,0,#4,80166.67,0,#0,80166.67,0,#7,80333.34,0,#3,80333.34,0,#4,80500,0,#0,80500,0,#6,80666.67,0,#2,80666.67,0,#7,80833.34,0,#3,80833.34,0,#4,81000,0,#0,81000,0,#7,81166.67,0,#3,81166.67,0,
0|0|0|0|100|4|#6,81333.34,0,#2,81333.34,0,#7,81500,0,#3,81500,0,#6,81666.67,0,#2,81666.67,0,#4,81833.34,0,#0,81833.34,0,#6,82000,250,#2,82000,250,#5,82333.34,250,#1,82333.34,250,
0|0|0|0|100|4|#6,82666.67,666.6667,#0,82666.67,250,#1,83000,250,#3,83333.34,250,#1,83666.67,250,#5,83666.67,0,#7,83833.34,0,
0|0|0|0|100|4|#2,84000,250,#4,84000,166.6667,#1,84333.34,250,#5,84333.34,0,#3,84666.67,250,#6,84666.67,166.6667,#1,85000,250,#4,85000,0,#7,85083.34,0,#5,85166.67,83.33334,
0|0|0|0|100|4|#1,85333.34,250,#6,85333.34,0,#4,85500,0,#3,85666.67,250,#7,85666.67,0,#4,85833.34,0,#0,86000,250,#6,86000,0,#7,86166.67,0,#3,86333.34,250,#4,86333.34,0,#7,86500,0,
1|0|0|0|100|4|#2,86666.67,250,#6,86666.67,0,#7,86833.34,0,#3,87000,250,#6,87000,0,#4,87166.67,0,#2,87333.34,250,#6,87333.34,250,#1,87666.67,250,#5,87666.67,250,
0|0|0|0|100|4|#5,88000,0,#1,88000,0,#1,88333.34,0,#1,88666.67,0,#0,88833.34,0,#3,88916.67,0,#2,89000,0,#1,89166.67,0,
0|0|0|0|100|4|#1,89500,0,#1,89833.34,0,#3,90166.67,0,#0,90250,0,#2,90333.34,250,
0|0|0|0|100|4|#1,90666.67,0,#1,91000,0,#1,91333.34,0,#3,91500,0,#0,91583.34,0,#2,91666.67,0,#1,91833.34,0,
0|0|0|0|100|4|#0,92000,0,#1,92166.67,0,#2,92333.34,0,#1,92500,0,#3,92666.67,0,#1,92833.34,0,#2,92916.67,0,#3,93000,0,#0,93166.67,0,
1|0|0|0|100|4|#5,93333.34,0,#1,93333.34,0,#5,93666.67,0,#1,93666.67,0,#5,94000,0,#1,94000,0,#4,94166.67,0,#0,94166.67,0,#7,94250,0,#3,94250,0,#2,94333.34,0,#6,94333.34,0,#5,94500,0,#1,94500,0,
1|0|0|0|100|4|#5,94833.34,0,#1,94833.34,0,#5,95166.67,0,#1,95166.67,0,#7,95500,0,#3,95500,0,#4,95583.34,0,#0,95583.34,0,#6,95666.67,250,#2,95666.67,250,
1|0|0|0|100|4|#5,96000,0,#1,96000,0,#5,96333.34,0,#1,96333.34,0,#5,96666.67,0,#1,96666.67,0,#7,96833.34,0,#3,96833.34,0,#4,96916.67,0,#0,96916.67,0,#6,97000,0,#2,97000,0,#5,97166.67,0,#1,97166.67,0,
1|0|0|0|100|4|#4,97333.34,0,#0,97333.34,0,#5,97500,0,#1,97500,0,#6,97666.67,0,#2,97666.67,0,#5,97833.34,0,#1,97833.34,0,#7,98000,0,#3,98000,0,#5,98166.67,0,#1,98166.67,0,#6,98250,0,#2,98250,0,#7,98333.34,0,#3,98333.34,0,#4,98500,0,#0,98500,0,
0|0|0|0|100|4|#2,98666.67,666.6667,#6,98666.67,666.6667,#1,99666.67,0,#1,99833.34,0,#3,99916.67,416.6667,
0|0|0|0|100|4|#3,100500,0,#2,100583.3,166.6667,#0,100833.3,0,#1,101166.7,250,
0|0|0|0|100|4|#0,101500,0,#3,101583.3,0,#1,101666.7,250,#2,102000,250,#0,102333.3,0,
0|0|0|0|100|4|#3,102666.7,0,#3,102833.3,0,#2,102916.7,0,#0,103000,0,#1,103166.7,0,#3,103333.3,0,#2,103500,0,#0,103666.7,0,#1,103833.3,0,
1|0|0|0|100|4|#6,104000,666.6667,#2,104000,666.6667,#5,105000,0,#5,105166.7,0,#7,105250,333.3333,
1|0|0|0|100|4|#7,105833.3,0,#6,105916.7,166.6667,#4,106166.7,0,#5,106500,250,
1|0|0|0|100|4|#4,106833.3,0,#7,106916.7,0,#5,107000,250,#6,107333.3,250,#4,107666.7,0,
1|0|0|0|100|4|#7,108000,0,#7,108166.7,0,#6,108250,0,#4,108333.3,0,#5,108500,0,#7,108666.7,0,#6,108833.3,0,#4,109000,0,#5,109166.7,0,
0|0|0|0|100|4|#1,109333.3,0,#3,109416.7,0,#0,109500,0,#3,109583.3,0,#3,109833.3,0,#1,110000,0,#1,110250,0,#0,110500,0,
0|0|0|0|100|4|#2,110833.3,0,#3,111000,83.33334,#1,111166.7,0,#1,111333.3,0,#1,111583.3,0,#3,111833.3,0,
0|0|0|0|100|4|#1,112083.3,0,#3,112166.7,0,#0,112250,0,#3,112333.3,0,#3,112583.3,0,#1,112666.7,0,#1,112916.7,0,#2,113166.7,250,
0|0|0|0|100|4|#2,113500,0,#3,113666.7,0,#1,113750,0,#0,113833.3,0,#1,114000,0,#3,114166.7,0,#1,114250,0,#0,114333.3,0,#3,114500,0,
1|0|0|0|100|4|#5,114666.7,0,#2,114666.7,333.3333,#7,114750,0,#4,114833.3,0,#7,114916.7,0,#7,115166.7,0,#5,115333.3,0,#5,115583.3,0,#4,115833.3,0,
1|0|0|0|100|4|#6,116166.7,0,#7,116333.3,83.33334,#5,116500,0,#5,116666.7,0,#5,116916.7,0,#7,117166.7,0,
1|0|0|0|100|4|#5,117416.7,0,#7,117500,0,#4,117583.3,0,#7,117666.7,0,#7,117916.7,0,#5,118000,0,#5,118250,0,#6,118500,250,
1|0|0|0|100|4|#6,118833.3,0,#7,119000,0,#5,119083.3,0,#4,119166.7,0,#5,119333.3,0,#7,119500,0,#5,119583.3,0,#4,119666.7,0,#7,119833.3,0,
1|0|0|0|100|4|#6,120000,833.3334,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
