satin-panties|110|bf-car|gf-car|mom|1.8|limo
1|0|0|0|100|4|#6,43636.36,136.3636,#6,43909.09,0,#7,44045.45,0,#4,44181.82,0,#5,44318.18,0,#7,44454.54,0,#5,44590.91,0,#7,44727.27,0,#4,44863.64,0,#7,45000,0,#5,45136.36,0,#7,45272.73,0,#4,45409.09,0,#5,45545.45,0,
1|0|0|0|100|4|#4,45818.18,0,#5,46090.91,0,#7,46227.27,0,#4,46363.64,136.3636,#5,46636.36,0,#6,46909.09,0,#7,47045.45,0,#4,47181.82,0,#4,47318.18,0,#7,47454.54,0,#4,47590.91,0,#4,47727.27,0,#5,47863.64,0,
0|0|0|0|100|4|#2,48272.73,0,#3,48409.09,0,#0,48545.45,0,#3,48681.82,0,#0,48818.18,0,#2,48954.54,0,#3,49090.91,0,#3,49363.64,0,#1,49636.36,0,#0,49909.09,0,
0|0|0|0|100|4|#3,50454.54,0,#1,50590.91,0,#0,50727.27,0,#3,50863.64,0,#2,51000,0,#0,51272.73,0,#2,51545.45,0,#0,51818.18,0,#1,52090.91,0,
1|0|0|0|100|4|#2,52363.63,545.4545,#6,52636.36,0,#7,52772.73,0,#4,52909.09,0,#7,53045.45,0,#4,53181.82,0,#6,53318.18,0,#7,53454.54,0,#7,53727.27,0,#5,54000,0,#4,54272.73,0,
1|0|0|0|100|4|#7,54818.18,0,#5,54954.54,0,#4,55090.91,0,#7,55227.27,0,#6,55363.63,0,#4,55636.36,0,#6,55909.09,0,#4,56181.82,0,#5,56454.54,0,
0|0|0|0|100|4|#6,56727.27,409.0909,#2,56727.27,409.0909,#3,57272.73,0,#7,57272.73,0,#2,57409.09,0,#6,57409.09,0,#3,57545.45,0,#7,57545.45,0,#2,57681.82,0,#6,57681.82,0,#0,57818.18,0,#4,57818.18,0,#1,57954.54,0,#5,57954.54,0,#0,58090.91,0,#4,58090.91,0,#1,58227.27,0,#5,58227.27,0,#0,58363.63,0,#4,58363.63,0,#3,58500,0,#7,58500,0,#0,58636.36,0,#4,58636.36,0,#3,58772.73,0,#7,58772.73,0,
0|0|0|0|100|4|#1,58909.09,409.0909,#5,58909.09,409.0909,#4,59454.54,0,#0,59454.54,0,#7,59590.91,0,#3,59590.91,0,#4,59727.27,0,#0,59727.27,0,#7,59863.63,0,#3,59863.63,0,#6,60000,136.3636,#2,60000,136.3636,#7,60272.73,0,#3,60272.73,0,#7,60545.45,0,#3,60545.45,0,#5,60818.18,0,#1,60818.18,0,
1|0|0|0|100|4|#4,61090.91,409.0909,#3,61090.91,409.0909,#0,61636.36,409.0909,#7,61636.36,409.0909,#6,62181.82,0,#2,62181.82,0,#6,62454.54,0,#2,62454.54,0,#6,62590.91,0,#2,62590.91,0,#7,62727.27,409.0909,#0,62727.27,409.0909,
1|0|0|0|100|4|#1,63272.73,409.0909,#5,63272.73,409.0909,#3,63818.18,409.0909,#7,63818.18,409.0909,#2,64363.63,409.0909,#6,64363.63,409.0909,#0,64909.09,0,#4,64909.09,0,#3,65181.82,0,#7,65181.82,0,
0|0|0|0|100|4|#5,65454.54,545.4545,#2,65454.54,0,#2,65727.27,0,#3,65863.63,0,#0,66000,0,#1,66272.73,0,#3,66545.45,0,#0,66681.81,0,#3,66818.18,0,#3,67090.91,0,#0,67227.27,0,#1,67363.63,0,
0|0|0|0|100|4|#1,67909.09,0,#3,68045.45,0,#0,68181.81,136.3636,#1,68454.55,0,#2,68727.27,0,#0,68818.18,0,#3,68909.09,0,#0,69000,0,#0,69181.81,0,#3,69272.73,0,#0,69363.63,0,#3,69454.55,0,#1,69545.45,0,#0,69727.27,0,
1|0|0|0|100|4|#1,69818.18,409.0909,#6,70090.91,0,#7,70227.27,0,#4,70363.63,0,#3,70363.63,409.0909,#5,70636.36,0,#7,70909.09,0,#2,70909.09,409.0909,#4,71045.45,0,#7,71181.81,0,#7,71454.55,0,#3,71454.55,409.0909,#4,71590.91,0,#5,71727.27,0,
1|0|0|0|100|4|#1,72000,409.0909,#5,72272.73,0,#7,72409.09,0,#4,72545.45,136.3636,#3,72545.45,409.0909,#5,72818.18,0,#6,73090.91,0,#4,73181.81,0,#7,73272.73,0,#4,73363.63,0,#4,73545.45,0,#7,73636.36,0,#4,73727.27,0,#7,73818.18,0,#5,73909.09,0,#4,74090.91,0,
0|0|0|0|100|4|#0,74181.81,136.3636,#5,74181.81,409.0909,#2,74454.55,0,#3,74590.91,0,#0,74727.27,0,#7,74727.27,409.0909,#1,74863.63,0,#3,75000,0,#1,75136.36,0,#3,75272.73,0,#6,75272.73,409.0909,#0,75409.09,0,#3,75545.45,0,#1,75681.81,0,#3,75818.18,0,#7,75818.18,409.0909,#0,75954.55,0,#1,76090.91,0,
0|0|0|0|100|4|#0,76363.63,0,#5,76363.63,409.0909,#1,76636.36,0,#3,76772.73,0,#0,76909.09,136.3636,#7,76909.09,409.0909,#1,77181.81,0,#2,77454.55,0,#6,77454.55,409.0909,#3,77590.91,0,#0,77727.27,0,#0,77863.63,0,#3,78000,0,#7,78000,0,#0,78136.36,0,#4,78136.36,0,#0,78272.73,0,#4,78272.73,0,#1,78409.09,0,#5,78409.09,0,
1|0|0|0|100|4|#4,78545.45,136.3636,#6,78818.18,0,#7,78954.55,0,#4,79090.91,0,#5,79227.27,0,#7,79363.63,0,#5,79500,0,#7,79636.36,0,#4,79772.73,0,#7,79909.09,0,#5,80045.45,0,#7,80181.81,0,#4,80318.18,0,#5,80454.55,0,
1|0|0|0|100|4|#4,80727.27,0,#5,81000,0,#7,81136.36,0,#4,81272.73,136.3636,#5,81545.45,0,#6,81818.18,0,#7,81954.54,0,#4,82090.91,0,#4,82227.27,0,#7,82363.63,0,#4,82500,0,#4,82636.36,0,#5,82772.73,0,
0|0|0|0|100|4|#7,82909.09,1090.909,#2,83181.81,0,#3,83454.54,0,#2,83727.27,0,#3,83863.63,0,#0,84136.36,0,#2,84409.09,0,#3,84545.45,0,#0,84818.18,0,#3,84954.54,0,
1|0|0|0|100|4|#6,85363.63,0,#7,85636.36,0,#6,85909.09,0,#7,86045.45,0,#4,86318.18,0,#6,86590.91,0,#7,86727.27,0,#4,86863.63,0,#5,87000,0,
1|0|0|0|100|4|#6,87272.73,545.4545,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
