Pico|150|bf|gf|pico|1.6|pico
1|0|0|0|100|4|#4,35400,0,#7,35600,0,#6,35800,0,#6,36000,0,#7,36200,0,#5,36400,0,#7,36600,0,
1|0|0|0|100|4|#6,36800,0,#7,37000,0,#4,37100,0,#7,37200,0,#6,37400,0,#4,37600,300,#5,38000,200,
1|0|0|0|100|4|#6,38400,0,#7,38600,0,#5,38800,0,#6,39000,0,#7,39200,0,#5,39400,0,#6,39600,0,#7,39800,0,
1|0|0|0|100|4|#4,40000,0,#4,40200,0,#7,40400,0,#7,40600,0,#6,40800,300,#5,41200,300,
0|0|0|0|100|4|#2,41800,0,#3,42000,0,#0,42200,0,#3,42400,0,#0,42600,0,#3,42700,0,#1,42800,0,
0|0|0|0|100|4|#2,43400,0,#0,43600,0,#3,43800,0,#3,44000,0,#0,44200,0,#3,44300,0,#1,44400,0,
0|0|0|0|100|4|#3,45000,0,#0,45200,0,#0,45400,0,#2,45600,0,#0,45800,0,#3,45900,0,#1,46000,0,
0|0|0|0|100|4|#2,46600,0,#3,46800,0,#0,47000,0,#3,47200,0,#0,47400,0,#3,47500,0,#1,47600,0,
1|0|0|0|100|4|#6,48200,0,#7,48400,0,#4,48600,0,#7,48800,0,#4,49000,0,#7,49100,0,#5,49200,0,
1|0|0|0|100|4|#6,49800,0,#4,50000,0,#7,50200,0,#7,50400,0,#4,50600,0,#7,50700,0,#5,50800,0,
1|0|0|0|100|4|#7,51399,0,#4,51599,0,#4,51799,0,#6,51999,0,#4,52199,0,#7,52299,0,#5,52399,0,
1|0|0|0|100|4|#6,52999,0,#7,53199,0,#4,53399,0,#7,53599,0,#4,53799,0,#7,53899,0,#5,53999,0,
0|0|0|0|100|4|#6,54399,200,#2,54599,0,#3,54799,0,#0,54999,0,#7,54999,0,#3,55199,0,#5,55199,0,#0,55399,0,#3,55499,0,#1,55599,0,#7,55599,0,
1|0|0|0|100|4|#4,55999,0,#2,56199,0,#6,56199,0,#4,56399,0,#0,56399,0,#3,56599,0,#7,56599,0,#3,56799,0,#5,56799,200,#0,56999,0,#3,57099,0,#1,57199,0,
0|0|0|0|100|4|#6,57599,200,#3,57799,0,#0,57999,0,#0,58199,0,#7,58199,0,#2,58399,0,#5,58399,0,#0,58599,0,#3,58699,0,#1,58799,0,#7,58799,0,
0|0|0|0|100|4|#4,59199,0,#2,59399,0,#6,59399,0,#4,59599,0,#3,59599,0,#0,59799,0,#7,59799,0,#6,59999,0,#3,59999,0,#6,60199,0,#0,60199,0,#3,60299,0,#4,60399,0,#1,60399,0,#4,60599,0,
1|0|0|0|100|4|#6,60999,0,#7,61199,0,#4,61399,0,#7,61599,0,#4,61799,0,#7,61899,0,#5,61999,0,
1|0|0|0|100|4|#6,62599,0,#4,62799,0,#7,62999,0,#7,63199,0,#4,63399,0,#7,63499,0,#5,63599,0,
1|0|0|0|100|4|#7,64199,0,#4,64399,0,#4,64599,0,#6,64799,0,#4,64999,0,#7,65099,0,#5,65199,0,
1|0|0|0|100|4|#6,65800,0,#7,66000,0,#4,66200,0,#7,66400,0,#4,66600,0,#7,66700,0,#5,66800,0,
0|0|0|0|100|4|#0,67400,0,#3,67600,0,#2,67800,0,#2,68000,0,#3,68200,0,#1,68400,0,#3,68600,0,
0|0|0|0|100|4|#2,68800,0,#3,69000,0,#0,69100,0,#3,69200,0,#2,69400,0,#0,69600,300,#1,70000,200,
0|0|0|0|100|4|#3,70600,0,#1,70800,0,#2,71000,0,#3,71200,0,#1,71400,0,#2,71600,0,#3,71800,0,
0|0|0|0|100|4|#0,72000,0,#0,72200,0,#3,72400,0,#3,72600,0,#2,72800,300,#1,73200,300,
1|0|0|0|100|4|#4,73800,0,#7,74000,0,#6,74200,0,#6,74400,0,#7,74600,0,#5,74800,0,#7,75000,0,
1|0|0|0|100|4|#6,75200,0,#7,75400,0,#4,75500,0,#7,75600,0,#6,75800,0,#4,76000,300,#5,76400,200,
1|0|0|0|100|4|#6,76800,0,#7,77000,0,#5,77200,0,#6,77400,0,#7,77600,0,#5,77800,0,#6,78000,0,#7,78200,0,
1|0|0|0|100|4|#7,79000,0,#7,78800,0,#4,78600,0,#4,78400,0,#6,79200,300,#5,79600,300,
0|0|0|0|100|4|
0|0|0|0|100|4|
