monster|95|bf|gf|monster|1.6|spooky
1|0|0|0|100|4|
1|0|0|0|100|4|
0|0|0|1|132|4|#2,117352.5,0,#2,117579.8,0,#2,117807,0,#2,118034.3,0,#0,118261.6,0,#0,118488.9,113.6364,#1,118716.1,454.5455,
0|0|0|0|100|4|#2,120534.3,0,
0|0|0|0|100|4|#3,120761.6,795.4545,#3,121670.7,340.9091,#0,122125.2,0,#2,122352.5,340.9091,
0|0|0|0|100|4|#1,122807,681.8182,
1|0|0|0|100|4|#6,124625.2,0,#6,124852.5,0,#6,125079.8,0,#6,125307,0,#4,125534.3,0,#4,125761.6,113.6364,#5,125988.9,454.5455,
1|0|0|0|100|4|#6,127807,0,
1|0|0|0|100|4|#7,128034.3,795.4545,#7,128943.4,340.9091,#4,129398,0,#6,129625.2,340.9091,
1|0|0|0|100|4|#5,130079.8,681.8182,
1|0|0|1|120|4|
0|0|0|0|100|4|#2,133920.7,0,#3,134045.7,250,#0,134045.7,250,#1,134420.7,0,#3,134670.7,0,#2,134670.7,0,#3,134920.7,0,#0,135170.7,0,#3,135420.7,0,#2,135420.7,0,
0|0|0|0|100|4|#0,135670.7,375,#3,136170.7,750,
1|0|0|0|100|4|#6,137920.7,0,#7,138045.7,250,#4,138045.7,250,#5,138420.7,0,#7,138670.7,0,#6,138670.7,0,#7,138920.7,0,#4,139170.7,0,#7,139420.7,0,#6,139420.7,0,
1|0|0|0|100|4|#4,139670.7,375,#7,140170.7,750,
0|0|0|0|100|4|#3,141920.7,125,#1,142170.7,125,#0,142420.7,125,#2,142670.7,125,#3,142920.7,125,#0,143170.7,125,#2,143420.7,125,
0|0|0|0|100|4|#3,143670.7,500,#2,144670.7,0,#0,144795.7,0,#2,144920.7,0,#3,145295.7,0,#0,145420.7,0,
1|0|0|0|100|4|#7,145920.7,125,#5,146170.7,125,#4,146420.7,125,#6,146670.7,125,#7,146920.7,125,#4,147170.7,125,#6,147420.7,125,
1|0|0|0|100|4|#7,147670.7,500,#6,148670.7,0,#4,148795.7,0,#6,148920.7,0,#7,149295.7,0,#4,149420.7,0,
0|0|0|0|100|4|#3,149670.7,0,#2,149795.7,0,#3,149920.7,0,#0,150170.7,0,#2,150295.7,0,#0,150420.7,0,#2,150670.7,0,#3,150795.7,0,#2,150920.7,0,#0,151045.7,0,#2,151170.7,0,#3,151295.7,0,#1,151420.7,250,
0|0|0|0|100|4|#3,151920.7,250,#0,152420.7,250,#0,152920.7,0,#3,152920.7,0,#0,153170.7,250,
1|0|0|0|100|4|#7,153670.7,0,#6,153795.7,0,#7,153920.7,0,#4,154170.7,0,#6,154295.7,0,#4,154420.7,0,#6,154670.7,0,#7,154795.7,0,#6,154920.7,0,#4,155045.7,0,#6,155170.7,0,#7,155295.7,0,#5,155420.7,250,
1|0|0|0|100|4|#7,155920.7,250,#4,156420.7,250,#4,156920.7,0,#7,156920.7,0,#4,157170.7,250,
0|0|0|0|100|4|#2,157670.7,875,#1,158670.7,875,
0|0|0|0|100|4|#3,159670.7,0,#1,159795.7,0,#0,159920.7,0,#1,160045.7,0,#3,160170.7,0,#1,160295.7,0,#0,160420.7,0,#1,160545.7,0,#3,160670.7,0,#3,160920.7,0,#3,161170.7,0,#3,161420.7,0,
1|0|0|0|100|4|#6,161670.7,875,#5,162670.7,875,
1|0|0|0|100|4|#7,163670.7,0,#5,163795.7,0,#4,163920.7,0,#5,164045.7,0,#7,164170.7,0,#5,164295.7,0,#4,164420.7,0,#5,164545.7,0,#7,164670.7,0,#7,164920.7,0,#7,165170.7,0,#7,165420.7,0,
0|0|0|0|100|4|#1,165920.7,125,#0,166170.7,125,#2,166420.7,125,#1,166670.7,125,#0,166920.7,125,#3,167170.7,125,#2,167420.7,125,
0|0|0|0|100|4|#3,167670.7,125,#1,167920.7,500,
1|0|0|0|100|4|#5,169920.7,125,#4,170170.7,125,#6,170420.7,125,#5,170670.7,125,#4,170920.7,125,#7,171170.7,125,#6,171420.7,125,
1|0|0|0|100|4|#7,171670.7,125,#5,171920.7,500,
1|0|0|0|100|4|
1|0|0|0|100|4|
