Blammed|165|bf|gf|pico|2.3|pico
1|0|0|0|100|4|#6,29272.73,0,#7,29454.54,0,#7,29636.36,0,#6,29818.18,0,#4,30000,0,#7,30181.82,0,#5,30363.64,0,
1|0|0|0|100|4|#7,30545.46,0,#5,30727.27,0,#4,30909.09,0,#5,31090.91,0,#6,31272.73,0,#7,31454.54,0,#4,31636.36,0,#5,31818.18,0,
1|0|0|0|100|4|#6,32181.82,0,#7,32363.64,0,#7,32545.46,0,#5,32727.27,0,#4,32909.09,0,#7,33090.91,0,#6,33272.73,0,
1|0|0|0|100|4|#7,33454.55,0,#4,33636.36,0,#5,33818.18,0,#5,34000,0,#7,34181.82,0,#6,34363.64,0,#4,34545.45,0,#5,34727.27,0,
0|0|0|0|100|4|#0,35090.91,0,#2,35272.73,181.8182,#3,35636.36,0,#3,35818.18,0,#1,36000,272.7273,
0|0|0|0|100|4|#2,36363.64,181.8182,#3,36727.27,0,#2,37090.91,0,#0,37454.55,0,#3,37636.36,0,
0|0|0|0|100|4|#0,38000,0,#2,38181.82,181.8182,#3,38545.45,0,#3,38727.27,0,#1,38909.09,272.7273,
0|0|0|0|100|4|#0,39272.73,272.7273,#1,39636.36,0,#3,40000,0,#3,40090.91,0,#1,40181.82,0,#2,40363.64,0,#3,40545.45,0,
1|0|0|0|100|4|#4,40909.09,0,#6,41090.91,181.8182,#7,41454.55,0,#7,41636.36,0,#5,41818.18,272.7273,
1|0|0|0|100|4|#6,42181.82,181.8182,#7,42545.45,0,#6,42909.09,0,#4,43272.73,0,#7,43454.55,0,
1|0|0|0|100|4|#4,43818.18,0,#6,44000,181.8182,#7,44363.64,0,#7,44545.45,0,#5,44727.27,272.7273,
1|0|0|0|100|4|#4,45090.91,272.7273,#5,45454.55,0,#7,45818.18,0,#7,45909.09,0,#5,46000,0,#6,46181.82,0,#7,46363.64,0,
0|0|0|0|100|4|#0,46545.45,0,#0,46727.27,0,#3,46909.09,0,#1,47090.91,0,#3,47181.82,0,#1,47272.73,0,#0,47454.55,0,#1,47636.36,0,#0,47818.18,0,
0|0|0|0|100|4|#2,48000,0,#2,48181.82,0,#3,48363.64,0,#2,48545.45,0,#1,48727.27,0,#0,48909.09,0,#1,49000,0,#0,49090.91,0,#0,49272.73,0,
0|0|0|0|100|4|#3,49454.55,0,#3,49636.36,0,#3,49818.18,0,#2,50000,0,#0,50090.91,0,#2,50181.82,0,#0,50363.64,0,#0,50545.45,0,#0,50727.27,0,
0|0|0|0|100|4|#0,50909.09,0,#0,51090.91,0,#3,51272.73,0,#3,51454.55,0,#2,51636.36,0,#0,51818.18,0,#2,52000,0,#3,52181.82,0,
1|0|0|0|100|4|#4,52363.64,0,#4,52545.45,0,#7,52727.27,0,#5,52909.09,0,#7,53000,0,#5,53090.91,0,#4,53272.73,0,#5,53454.55,0,#4,53636.36,0,
1|0|0|0|100|4|#6,53818.18,0,#6,54000,0,#7,54181.82,0,#6,54363.64,0,#5,54545.45,0,#4,54727.27,0,#5,54818.18,0,#4,54909.09,0,#4,55090.91,0,
1|0|0|0|100|4|#7,55272.73,0,#7,55454.55,0,#7,55636.36,0,#6,55818.18,0,#4,55909.09,0,#6,56000,0,#1,56181.82,0,#4,56181.82,0,#0,56363.64,0,#4,56363.64,0,#0,56545.45,0,#4,56545.45,0,
1|0|0|0|100|4|#3,56727.27,0,#4,56727.27,0,#3,56909.09,0,#4,56909.09,0,#2,57090.91,0,#7,57090.91,0,#3,57272.73,0,#7,57272.73,0,#2,57454.54,272.7273,#6,57454.54,0,#4,57636.36,0,#3,57818.18,272.7273,#6,57818.18,0,#7,58000,0,
0|0|0|0|100|4|#0,58181.82,0,#0,58363.64,0,#3,58545.45,0,#1,58727.27,0,#3,58818.18,0,#1,58909.09,0,#0,59090.91,0,#1,59272.73,0,#0,59454.54,0,
0|0|0|0|100|4|#2,59636.36,0,#2,59818.18,0,#3,60000,0,#2,60181.82,0,#1,60363.64,0,#0,60545.45,0,#1,60636.36,0,#0,60727.27,0,#0,60909.09,0,
0|0|0|0|100|4|#3,61090.91,0,#3,61272.73,0,#3,61454.54,0,#2,61636.36,0,#0,61727.27,0,#2,61818.18,0,#0,62000,0,#0,62181.82,0,#0,62363.64,0,
0|0|0|0|100|4|#2,62545.45,0,#3,62727.27,0,#2,62909.09,0,#0,63090.91,0,#1,63272.73,0,#0,63454.54,0,#2,63636.36,0,#3,63818.18,0,
1|0|0|0|100|4|#4,64000,0,#4,64181.82,0,#7,64363.64,0,#5,64545.45,0,#7,64636.36,0,#5,64727.27,0,#4,64909.09,0,#5,65090.91,0,#4,65272.73,0,
1|0|0|0|100|4|#6,65454.54,0,#6,65636.36,0,#7,65818.18,0,#6,66000,0,#5,66181.82,0,#4,66363.63,0,#5,66454.55,0,#4,66545.45,0,#4,66727.27,0,
1|0|0|0|100|4|#7,66909.09,0,#7,67090.91,0,#7,67272.73,0,#6,67454.55,0,#4,67545.45,0,#6,67636.36,0,#4,67818.18,0,#4,68000,0,#4,68181.82,0,
1|0|0|0|100|4|#6,68363.63,0,#7,68545.45,0,#6,68727.27,0,#4,68909.09,0,#5,69090.91,0,#4,69272.73,0,#6,69454.55,0,#7,69636.36,0,
0|0|0|0|100|4|#5,69818.18,272.7273,#0,70000,0,#2,70181.82,181.8182,#3,70545.45,0,#3,70727.27,0,#1,70909.09,272.7273,
0|0|0|0|100|4|#2,71272.73,181.8182,#3,71636.36,0,#2,72000,0,#0,72363.63,0,#3,72545.45,0,
0|0|0|0|100|4|#0,72909.09,0,#2,73090.91,181.8182,#3,73454.55,0,#3,73636.36,0,#1,73818.18,272.7273,
0|0|0|0|100|4|#0,74181.82,272.7273,#1,74545.45,0,#3,74909.09,0,#3,75000,0,#1,75090.91,0,#2,75272.73,0,#3,75454.55,0,
1|0|0|0|100|4|#4,75818.18,0,#6,76000,181.8182,#7,76363.63,0,#7,76545.45,0,#5,76727.27,272.7273,
1|0|0|0|100|4|#6,77090.91,181.8182,#7,77454.55,0,#6,77818.18,0,#4,78181.82,0,#7,78363.63,0,
1|0|0|0|100|4|#4,78727.27,0,#6,78909.09,181.8182,#7,79272.73,0,#7,79454.55,0,#5,79636.36,272.7273,
1|0|0|0|100|4|#4,80000,272.7273,#5,80363.63,0,#7,80727.27,0,#7,80818.18,0,#5,80909.09,0,#6,81090.91,0,#7,81272.73,0,
0|0|0|0|100|4|#0,81636.36,0,#0,81727.27,0,#2,81818.18,181.8182,#3,82181.82,0,#3,82363.63,0,#1,82545.45,272.7273,
0|0|0|0|100|4|#2,82909.09,181.8182,#3,83272.73,0,#2,83636.36,0,#0,84000,0,#3,84181.82,0,
0|0|0|0|100|4|#0,84545.45,0,#2,84727.27,181.8182,#3,85090.91,0,#3,85272.73,0,#1,85454.55,272.7273,
0|0|0|0|100|4|#0,85818.18,272.7273,#1,86181.82,0,#3,86545.45,0,#3,86636.36,0,#1,86727.27,0,#2,86909.09,0,#3,87090.91,0,
1|0|0|0|100|4|#4,87454.55,0,#4,87545.45,0,#6,87636.36,181.8182,#7,88000,0,#7,88181.82,0,#5,88363.63,272.7273,
1|0|0|0|100|4|#6,88727.27,181.8182,#7,89090.91,0,#6,89454.55,0,#4,89818.18,0,#7,90000,0,
1|0|0|0|100|4|#4,90363.63,0,#6,90545.45,181.8182,#7,90909.09,0,#7,91090.91,0,#5,91272.73,272.7273,
1|0|0|0|100|4|#4,91636.36,272.7273,#5,92000,0,#7,92363.63,0,#7,92454.55,0,#5,92545.45,0,#6,92727.27,0,#7,92909.09,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
