Ugh|160|bf|gf|tankman|2.3|tankstage
0|0|0|0|100|4|#3,39000,0,#3,39187.5,0,#2,39375,93.75,#3,39562.5,0,#1,39750,93.75,#3,39937.5,0,#0,40125,281.25,
0|0|0|0|100|4|#0,40500,0,#1,40687.5,0,#2,40875,0,#3,41062.5,0,#0,41250,281.25,#2,41625,0,true
1|0|0|0|100|4|#7,42000,0,#7,42187.5,0,#6,42375,93.75,#7,42562.5,0,#5,42750,93.75,#7,42937.5,0,#4,43125,93.75,#6,43312.5,0,#6,43406.25,0,
1|0|0|0|100|4|#7,43500,0,#6,43593.75,0,#7,43687.5,0,#5,43781.25,0,#4,43875,0,#5,43968.75,0,#4,44062.5,93.75,#5,44250,281.25,#7,44625,281.25,
1|0|0|0|100|4|#7,45000,0,#7,45187.5,0,#6,45375,93.75,#7,45562.5,0,#5,45750,93.75,#7,45937.5,0,#4,46125,281.25,
1|0|0|0|100|4|#4,46500,0,#5,46687.5,0,#6,46875,0,#7,47062.5,0,#4,47250,281.25,#5,47625,281.25,
0|0|0|0|100|4|#1,48000,0,#0,48093.75,0,#1,48187.5,0,#2,48281.25,0,#3,48375,0,#1,48562.5,0,#0,48656.25,0,#1,48750,0,#2,48843.75,0,#3,48937.5,0,#2,49125,0,true
0|0|0|0|100|4|#3,49500,93.75,#1,49687.5,0,#3,49875,93.75,#0,50062.5,0,#2,50250,0,#3,50437.5,0,#0,50625,0,#3,50812.5,0,
0|0|0|0|100|4|#3,51000,0,#3,51187.5,0,#2,51281.25,0,#3,51375,0,#2,51562.5,0,#1,51656.25,0,#2,51750,0,#1,51937.5,0,#0,52031.25,0,#1,52125,0,#0,52312.5,0,
0|0|0|0|100|4|#1,52500,93.75,#2,52687.5,93.75,#3,52875,93.75,#0,53062.5,93.75,#1,53250,93.75,#0,53437.5,0,#1,53531.25,0,#3,53625,93.75,#0,53812.5,0,
1|0|0|0|100|4|#5,54000,0,#3,54000,281.25,#4,54093.75,0,#5,54187.5,0,#6,54281.25,0,#7,54375,0,#5,54562.5,0,#4,54656.25,0,#5,54750,0,#6,54843.75,0,#7,54937.5,0,#5,55125,281.25,
1|0|0|0|100|4|#7,55500,93.75,#5,55687.5,0,#7,55875,93.75,#4,56062.5,0,#6,56250,0,#7,56437.5,0,#4,56625,0,#7,56812.5,0,
1|0|0|0|100|4|#7,57000,0,#7,57187.5,0,#6,57281.25,0,#7,57375,0,#6,57562.5,0,#5,57656.25,0,#6,57750,0,#5,57937.5,0,#4,58031.25,0,#5,58125,0,#4,58312.5,0,
1|0|0|0|100|4|#5,58500,93.75,#6,58687.5,93.75,#7,58875,93.75,#4,59062.5,93.75,#5,59250,93.75,#4,59437.5,0,#5,59531.25,0,#7,59625,93.75,#4,59812.5,0,
0|0|0|0|100|4|#3,60000,0,#7,60000,281.25,#3,60093.75,0,#1,60187.5,0,#0,60375,0,#1,60562.5,0,#0,60750,0,#1,60843.75,0,#3,60937.5,0,#1,61031.25,0,#0,61125,93.75,#1,61312.5,0,
0|0|0|0|100|4|#3,61500,93.75,#1,61687.5,0,#3,61875,93.75,#0,62062.5,0,#2,62250,0,#3,62437.5,0,#0,62625,0,#3,62812.5,0,
0|0|0|0|100|4|#3,63000,0,#3,63187.5,0,#2,63281.25,0,#3,63375,0,#2,63562.5,0,#1,63656.25,0,#2,63750,0,#1,63937.5,0,#0,64031.25,0,#1,64125,0,#0,64312.5,0,
0|0|0|0|100|4|#1,64500,93.75,#2,64687.5,93.75,#3,64875,93.75,#0,65062.5,93.75,#1,65250,93.75,#0,65437.5,0,#1,65531.25,0,#3,65625,93.75,#0,65812.5,0,
1|0|0|0|100|4|#7,66000,0,#3,66000,281.25,#7,66093.75,0,#5,66187.5,0,#4,66375,0,#5,66562.5,0,#4,66750,0,#5,66843.75,0,#7,66937.5,0,#5,67031.25,0,#4,67125,93.75,#5,67312.5,0,
1|0|0|0|100|4|#7,67500,93.75,#5,67687.5,0,#7,67875,93.75,#4,68062.5,0,#6,68250,0,#7,68437.5,0,#4,68625,0,#7,68812.5,0,
1|0|0|0|100|4|#7,69000,0,#7,69187.5,0,#6,69281.25,0,#7,69375,0,#6,69562.5,0,#5,69656.25,0,#6,69750,0,#5,69937.5,0,#4,70031.25,0,#5,70125,0,#4,70312.5,0,
1|0|0|0|100|4|#5,70500,93.75,#6,70687.5,93.75,#7,70875,93.75,#4,71062.5,93.75,#5,71250,93.75,#4,71437.5,0,#5,71531.25,0,#7,71625,93.75,#4,71812.5,0,
0|0|0|0|100|4|#7,72000,281.25,#3,72000,0,#3,72187.5,0,#2,72375,93.75,#3,72562.5,0,#1,72750,93.75,#3,72937.5,0,#0,73125,93.75,#2,73312.5,0,#2,73406.25,0,
0|0|0|0|100|4|#3,73500,0,#2,73593.75,0,#3,73687.5,0,#1,73781.25,0,#0,73875,0,#1,73968.75,0,#0,74062.5,93.75,#1,74250,281.25,#3,74625,281.25,
0|0|0|0|100|4|#3,75000,0,#3,75187.5,0,#2,75375,93.75,#3,75562.5,0,#1,75750,93.75,#3,75937.5,0,#0,76125,281.25,
0|0|0|0|100|4|#0,76500,0,#1,76687.5,0,#2,76875,0,#3,77062.5,0,#0,77250,281.25,#2,77625,0,true
1|0|0|0|100|4|#7,78000,0,#7,78187.5,0,#6,78375,93.75,#7,78562.5,0,#5,78750,93.75,#7,78937.5,0,#4,79125,93.75,#6,79312.5,0,#6,79406.25,0,
1|0|0|0|100|4|#7,79500,0,#6,79593.75,0,#7,79687.5,0,#5,79781.25,0,#4,79875,0,#5,79968.75,0,#4,80062.5,93.75,#5,80250,281.25,#7,80625,281.25,
1|0|0|0|100|4|#7,81000,0,#7,81187.5,0,#6,81375,93.75,#7,81562.5,0,#5,81750,93.75,#7,81937.5,0,#4,82125,281.25,
1|0|0|0|100|4|#4,82500,0,#5,82687.5,0,#6,82875,0,#7,83062.5,0,#4,83250,281.25,#5,83625,281.25,
1|0|0|0|100|4|
1|0|0|0|100|4|
