Eggnog|150|bf-christmas|gf|parents-christmas|1.9|mall
0|0|0|0|100|4|#3,32000,0,#3,32200,0,#1,32400,0,#0,32600,0,#3,32700,0,#2,32800,0,#3,33000,0,#1,33200,0,#0,33400,0,#3,33500,0,
0|0|0|0|100|4|#2,33600,0,#3,33800,0,#1,34000,0,#0,34200,0,#1,34400,0,#0,34500,0,#2,34600,100,#3,34800,0,#1,35000,0,
1|0|0|0|100|4|#3,35200,400,#7,35400,0,#5,35600,0,#4,35800,0,#7,35900,0,#6,36000,0,#7,36200,0,#5,36400,0,#4,36600,0,#7,36700,0,
1|0|0|0|100|4|#6,36800,0,#7,37000,0,#5,37200,0,#4,37400,0,#7,37500,0,#6,37600,0,#7,37800,0,#7,38000,0,#4,38200,0,
1|0|0|0|100|4|#7,38400,0,#7,38600,0,#5,38800,0,#4,39000,0,#7,39100,0,#6,39200,0,#7,39400,0,#5,39600,0,#4,39800,0,#7,39900,0,
1|0|0|0|100|4|#6,40000,0,#7,40200,0,#5,40400,0,#4,40600,0,#5,40800,0,#4,40900,0,#6,41000,100,#7,41200,0,#5,41400,0,
0|1|0|0|100|4|#0,41600,0,#7,41600,400,#2,41700,0,#3,41800,0,#2,42000,0,#0,42200,0,#1,42400,0,#0,42600,0,#1,42800,0,#3,43000,0,
1|1|0|0|100|4|#3,43200,400,#4,43200,0,#6,43300,0,#7,43400,0,#6,43600,0,#4,43800,0,#5,44000,0,#4,44200,0,#5,44400,0,#7,44600,0,
0|1|0|0|100|4|#7,44800,400,#0,44800,0,#2,44900,0,#3,45000,0,#2,45200,0,#0,45400,0,#1,45600,0,#0,45800,0,#1,46000,0,#3,46200,0,
1|1|0|0|100|4|#3,46400,400,#4,46400,0,#6,46500,0,#7,46600,0,#6,46800,0,#4,47000,0,#5,47200,0,#4,47400,0,#5,47600,0,#7,47800,0,
0|0|0|0|100|4|#7,48000,400,#1,48200,0,#1,48600,0,#1,49000,0,#2,49200,0,#0,49300,0,#3,49400,0,
0|0|0|0|100|4|#1,49800,0,#1,50200,0,#1,50600,0,#3,50800,0,#0,50900,0,#3,51000,0,
0|0|0|0|100|4|#1,51400,0,#1,51800,0,#1,52200,0,#2,52400,0,#0,52500,0,#3,52600,0,
0|0|0|0|100|4|#1,53000,0,#1,53400,0,#1,53800,0,#3,54000,0,#0,54100,0,#3,54200,0,
1|0|0|0|100|4|#5,54600,0,#5,55000,0,#5,55400,0,#6,55600,0,#4,55700,0,#7,55800,0,
1|0|0|0|100|4|#5,56200,0,#5,56600,0,#5,57000,0,#7,57200,0,#4,57300,0,#7,57400,0,
1|0|0|0|100|4|#5,57800,0,#5,58200,0,#5,58600,0,#6,58800,0,#4,58900,0,#7,59000,0,
1|0|0|0|100|4|#5,59400,0,#5,59800,0,#5,60200,0,#7,60400,0,#4,60500,0,#7,60600,0,
0|1|0|0|100|4|#2,60800,0,#3,61000,0,#0,61200,0,#3,61400,0,#1,61600,0,#0,61800,0,#1,62000,0,#3,62200,0,
0|1|0|0|100|4|#0,62400,0,#3,62500,0,#1,62600,0,#0,62800,0,#1,62900,0,#3,63000,100,#1,63200,0,#2,63400,0,#3,63600,200,
1|0|0|0|100|4|#6,64000,0,#7,64200,0,#4,64400,0,#7,64600,0,#5,64800,0,#4,65000,0,#5,65200,0,#7,65400,0,
1|0|0|0|100|4|#4,65600,0,#7,65700,0,#5,65800,0,#4,66000,0,#5,66100,0,#7,66200,100,#5,66400,0,#6,66600,0,#7,66800,200,
0|1|0|0|100|4|#1,67200,0,#3,67400,0,#0,67600,200,#1,68000,0,#1,68200,0,#1,68400,0,#2,68600,0,
0|1|0|0|100|4|#3,68800,0,#0,68900,0,#3,69000,0,#1,69200,0,#0,69300,0,#1,69400,0,#0,69500,0,#2,69600,300,#2,70000,300,
1|0|0|0|100|4|#5,70400,0,#7,70600,0,#4,70800,200,#5,71200,0,#4,71400,0,#5,71600,0,#6,71800,0,
1|0|0|0|100|4|#7,72000,0,#4,72100,0,#7,72200,0,#5,72400,0,#4,72500,0,#5,72600,0,#4,72700,0,#6,72800,300,#6,73200,300,
1|0|0|0|100|4|#6,73600,0,#4,73700,0,#3,73800,0,#7,73800,100,#1,74000,0,#5,74000,0,#6,74100,200,#0,74200,0,#3,74300,0,#2,74400,0,#7,74400,100,#3,74600,0,#1,74800,0,#4,74800,0,#0,75000,0,#6,75000,0,#3,75100,0,
1|0|0|0|100|4|#2,75200,0,#3,75400,0,#4,75400,0,#1,75600,0,#0,75800,0,#4,75800,0,#3,75900,0,#2,76000,0,#3,76200,0,#4,76200,0,#5,76300,0,#3,76400,0,#6,76400,0,#0,76600,0,#7,76600,400,
1|0|0|0|100|4|#3,76800,0,#3,77000,0,#1,77200,0,#5,77200,100,#0,77400,0,#3,77500,0,#2,77600,0,#7,77600,100,#3,77800,0,#1,78000,0,#5,78000,0,#0,78200,0,#4,78200,0,#3,78300,0,
1|0|0|0|100|4|#2,78400,0,#3,78600,0,#4,78600,0,#1,78800,0,#0,79000,0,#5,79000,0,#1,79200,0,#0,79300,0,#2,79400,100,#5,79400,0,#3,79600,0,#6,79600,300,#1,79800,0,
1|0|0|0|100|4|#3,80000,400,#7,80200,0,#5,80400,0,#4,80600,0,#7,80700,0,#6,80800,0,#7,81000,0,#5,81200,0,#4,81400,0,#7,81500,0,
1|0|0|0|100|4|#6,81600,0,#7,81800,0,#5,82000,0,#4,82200,0,#7,82300,0,#6,82400,0,#7,82600,0,#7,82800,0,#4,83000,0,
1|0|0|0|100|4|#7,83200,0,#7,83400,0,#5,83600,0,#4,83800,0,#7,83900,0,#6,84000,0,#7,84200,0,#5,84400,0,#4,84600,0,#7,84700,0,
1|0|0|0|100|4|#6,84800,0,#7,85000,0,#5,85200,0,#4,85400,0,#5,85600,0,#4,85700,0,#6,85800,100,#7,86000,0,#5,86200,0,
0|1|0|0|100|4|#0,86400,0,#7,86400,400,#2,86500,0,#3,86600,0,#2,86800,0,#0,87000,0,#1,87200,0,#0,87400,0,#1,87600,0,#3,87800,0,
1|1|0|0|100|4|#3,88000,400,#4,88000,0,#6,88100,0,#7,88200,0,#6,88400,0,#4,88600,0,#5,88800,0,#4,89000,0,#5,89200,0,#7,89400,0,
0|1|0|0|100|4|#7,89600,400,#0,89600,0,#2,89700,0,#3,89800,0,#2,90000,0,#0,90200,0,#1,90400,0,#0,90600,0,#1,90800,0,#3,91000,0,
1|1|0|0|100|4|#3,91200,400,#4,91200,0,#6,91300,0,#7,91400,0,#6,91600,0,#4,91800,0,#5,92000,0,#4,92200,0,#5,92400,0,#7,92600,0,
1|0|0|0|100|4|#7,92800,800,
