philly-nice|175|bf|gf|pico|2|pico
0|0|0|0|100|4|#3,26228.57,0,#0,26400,0,#2,26742.86,0,#0,27085.71,0,#1,27257.14,0,
0|0|0|0|100|4|#0,27600,0,#1,27771.43,0,#3,27942.86,0,#1,28114.29,0,#0,28285.71,0,#1,28457.14,0,#3,28628.57,0,#0,28714.29,0,
0|0|0|0|100|4|#3,28800,0,#3,28971.43,0,#1,29142.86,0,#2,29485.71,0,#2,29828.57,0,#3,30000,0,
1|0|0|0|100|4|#6,30171.43,0,#6,30342.86,0,#4,30514.29,0,#4,30857.14,0,#7,31200,0,#5,31371.43,0,
1|0|0|0|100|4|#7,31714.29,0,#4,31885.71,0,#6,32228.57,0,#4,32571.43,0,#5,32742.86,0,
1|0|0|0|100|4|#4,33085.71,0,#5,33257.14,0,#7,33428.57,0,#5,33600,0,#4,33771.43,0,#5,33942.86,0,#7,34114.29,0,#4,34200,0,
1|0|0|0|100|4|#7,34285.71,0,#7,34457.14,0,#5,34628.57,0,#6,34971.43,0,#6,35314.29,0,#7,35485.71,0,
0|0|0|0|100|4|#2,35657.14,0,#3,35828.57,0,#1,36000,0,#0,36171.43,0,#2,36342.86,0,#3,36514.29,0,#0,36685.71,0,#3,36857.14,0,
0|0|0|0|100|4|#2,37028.57,0,#3,37200,0,#2,37371.43,0,#0,37542.86,0,#2,37714.29,0,#3,37885.71,0,#0,38057.14,0,#1,38228.57,0,
0|0|0|0|100|4|#2,38400,0,#3,38571.43,0,#1,38742.86,0,#0,38914.29,0,#2,39085.71,0,#3,39257.14,0,#0,39428.57,0,#3,39600,0,
0|0|0|0|100|4|#2,39771.43,0,#3,39942.86,0,#2,40114.29,0,#0,40285.71,0,#2,40457.14,0,#3,40628.57,0,#0,40800,0,#0,40971.43,0,
1|0|0|0|100|4|#6,41142.86,0,#7,41314.29,0,#5,41485.71,0,#4,41657.14,0,#6,41828.57,0,#7,42000,0,#4,42171.43,0,#7,42342.86,0,
1|0|0|0|100|4|#6,42514.29,0,#7,42685.71,0,#6,42857.14,0,#4,43028.57,0,#6,43200,0,#7,43371.43,0,#4,43542.86,0,#5,43714.29,0,
1|0|0|0|100|4|#6,43885.71,0,#7,44057.14,0,#5,44228.57,0,#4,44400,0,#6,44571.43,0,#7,44742.86,0,#4,44914.29,0,#7,45085.71,0,
1|0|0|0|100|4|#6,45257.14,0,#7,45428.57,0,#6,45600,0,#4,45771.43,0,#6,45942.86,0,#7,46114.29,0,#4,46285.71,0,#4,46457.14,0,
0|0|0|0|100|4|#2,46628.57,0,#3,46800,0,#1,46971.43,0,#0,47142.86,0,#2,47314.29,0,#3,47485.71,0,#0,47657.14,0,#3,47828.57,0,
0|0|0|0|100|4|#2,48000,0,#3,48171.43,0,#2,48342.86,0,#0,48514.29,0,#2,48685.71,0,#3,48857.14,0,#0,49028.57,0,#0,49200,0,
0|0|0|0|100|4|#2,49371.43,0,#3,49542.86,0,#1,49714.29,0,#0,49885.71,0,#2,50057.14,0,#3,50228.57,0,#0,50400,0,#3,50571.43,0,
0|0|0|0|100|4|#2,50742.86,0,#3,50914.29,0,#2,51085.71,0,#0,51257.14,0,#2,51428.57,0,#3,51600,0,#0,51771.43,0,#0,51942.86,0,
1|0|0|0|100|4|#6,52114.29,0,#7,52285.71,0,#5,52457.14,0,#4,52628.57,0,#6,52800,0,#7,52971.43,0,#4,53142.86,0,#7,53314.29,0,
1|0|0|0|100|4|#6,53485.71,0,#7,53657.14,0,#6,53828.57,0,#4,54000,0,#6,54171.43,0,#7,54342.86,0,#4,54514.29,0,#4,54685.71,0,
1|0|0|0|100|4|#6,54857.14,0,#7,55028.57,0,#5,55200,0,#4,55371.43,0,#6,55542.86,0,#7,55714.29,0,#4,55885.71,0,#7,56057.14,0,
1|0|0|0|100|4|#6,56228.57,0,#7,56400,0,#6,56571.43,0,#4,56742.86,0,#6,56914.29,0,#7,57085.71,0,#4,57257.14,0,#4,57428.57,0,
0|0|0|0|100|4|#3,57600,0,#3,57771.43,0,#1,57942.86,0,#1,58114.29,0,#2,58285.71,0,#2,58457.14,0,#0,58800,0,
0|0|0|0|100|4|#2,58971.43,0,#3,59142.86,0,#0,59228.57,0,#3,59314.29,0,#3,59485.71,0,#2,59657.14,0,#0,59828.57,0,#0,60000,0,#1,60171.43,0,
0|0|0|0|100|4|#3,60342.86,0,#3,60514.29,0,#0,60600,0,#3,60685.71,0,#1,60857.14,0,#2,61028.57,0,#2,61200,0,#0,61371.43,0,#0,61542.86,0,
0|0|0|0|100|4|#2,61714.29,0,#3,61885.71,0,#0,62057.14,0,#3,62228.57,0,#2,62400,0,#1,62742.86,0,#3,62914.29,0,
1|0|0|0|100|4|#7,63085.71,0,#7,63257.14,0,#5,63428.57,0,#5,63600,0,#6,63771.43,0,#6,63942.86,0,#4,64285.71,0,
1|0|0|0|100|4|#6,64457.14,0,#7,64628.57,0,#4,64714.29,0,#7,64800,0,#7,64971.43,0,#6,65142.86,0,#4,65314.29,0,#4,65485.71,0,#5,65657.14,0,
1|0|0|0|100|4|#7,65828.57,0,#7,66000,0,#4,66085.71,0,#7,66171.43,0,#5,66342.86,0,#6,66514.28,0,#6,66685.71,0,#4,66857.14,0,#4,67028.57,0,
1|0|0|0|100|4|#6,67200,0,#7,67371.43,0,#4,67542.86,0,#7,67714.28,0,#6,67885.71,0,#5,68228.57,0,#7,68400,0,
0|0|0|0|100|4|#2,68571.43,0,#1,68914.28,0,#3,69085.71,0,#2,69257.14,0,#1,69600,0,#3,69771.43,0,
0|0|0|0|100|4|#0,69942.86,0,#3,70114.28,0,#1,70285.71,0,#3,70457.14,0,#2,70628.57,0,#2,70971.43,0,#2,71142.86,0,
0|0|0|0|100|4|#3,71314.28,0,#1,71485.71,0,#0,71657.14,0,#3,71828.57,0,#2,72000,0,#0,72342.86,0,#0,72514.28,0,
0|0|0|0|100|4|#3,72685.71,0,#3,72857.14,0,#2,73028.57,0,#0,73200,0,#2,73371.43,0,#3,73542.86,0,#0,73714.28,0,#1,73885.71,0,
1|0|0|0|100|4|#6,74057.14,0,#5,74400,0,#7,74571.43,0,#6,74742.86,0,#5,75085.71,0,#7,75257.14,0,
1|0|0|0|100|4|#4,75428.57,0,#7,75600,0,#5,75771.43,0,#7,75942.86,0,#6,76114.28,0,#6,76457.14,0,#6,76628.57,0,
1|0|0|0|100|4|#7,76800,0,#5,76971.43,0,#4,77142.86,0,#7,77314.28,0,#6,77485.71,0,#4,77828.57,0,#4,78000,0,
1|0|0|0|100|4|#7,78171.43,0,#7,78342.86,0,#6,78514.28,0,#4,78685.71,0,#6,78857.14,0,#7,79028.57,0,#4,79200,0,#5,79371.43,0,
0|0|0|0|100|4|#2,79542.86,0,#3,79714.28,0,#1,79885.71,0,#0,80057.14,0,#2,80228.57,0,#3,80400,0,#0,80571.43,0,#3,80742.86,0,
0|0|0|0|100|4|#2,80914.28,0,#3,81085.71,0,#2,81257.14,0,#0,81428.57,0,#2,81600,0,#3,81771.43,0,#0,81942.86,0,#0,82114.28,0,
0|0|0|0|100|4|#2,82285.71,0,#3,82457.14,0,#1,82628.57,0,#0,82800,0,#2,82971.43,0,#3,83142.86,0,#0,83314.28,0,#3,83485.71,0,
0|0|0|0|100|4|#2,83657.14,0,#3,83828.57,0,#2,84000,0,#0,84171.43,0,#2,84342.86,0,#3,84514.28,0,#0,84685.71,0,#0,84857.14,0,
1|0|0|0|100|4|#6,85028.57,0,#7,85200,0,#5,85371.43,0,#4,85542.86,0,#6,85714.28,0,#7,85885.71,0,#4,86057.14,0,#7,86228.57,0,
1|0|0|0|100|4|#6,86400,0,#7,86571.43,0,#6,86742.86,0,#4,86914.28,0,#6,87085.71,0,#7,87257.14,0,#4,87428.57,0,#4,87600,0,
1|0|0|0|100|4|#6,87771.43,0,#7,87942.86,0,#5,88114.28,0,#4,88285.71,0,#6,88457.14,0,#7,88628.57,0,#4,88800,0,#7,88971.43,0,
1|0|0|0|100|4|#6,89142.86,0,#7,89314.28,0,#6,89485.71,0,#4,89657.14,0,#6,89828.57,0,#7,90000,0,#4,90171.43,0,#4,90342.86,0,
1|0|0|0|100|4|#5,90514.28,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
