south|165|bf|gf|spooky|2.2|spooky
1|0|0|0|100|4|#4,32000,0,#4,32363.64,0,#4,32545.46,0,#6,32636.36,0,#7,32727.27,0,#4,32909.09,0,#5,33090.91,0,#7,33272.73,0,
1|0|0|0|100|4|#6,33454.55,0,#6,33818.18,0,#6,34181.82,0,#7,34363.64,0,#4,34545.45,0,#5,34727.27,0,
0|0|0|0|100|4|#2,34909.09,0,#3,35090.91,0,#0,35272.73,0,#2,35454.55,0,#3,35636.36,0,#0,35818.18,0,#2,36000,0,#3,36181.82,0,
0|0|0|0|100|4|#0,36363.64,0,#2,36545.45,0,#3,36727.27,0,#0,36909.09,0,#0,37090.91,0,#3,37272.73,0,#0,37454.55,0,
0|0|0|0|100|4|#2,37818.18,0,#3,38000,0,#0,38181.82,0,#2,38363.64,0,#3,38545.45,0,#0,38727.27,0,#2,38909.09,0,#3,39090.91,0,
0|0|0|0|100|4|#0,39272.73,0,#1,39454.55,0,#1,39545.45,0,#3,39636.36,0,#0,39818.18,0,#3,40000,0,#0,40181.82,0,#3,40363.64,0,
1|0|0|0|100|4|#6,40727.27,0,#7,40909.09,0,#4,41090.91,0,#6,41272.73,0,#7,41454.55,0,#4,41636.36,0,#6,41818.18,0,#7,42000,0,
1|0|0|0|100|4|#4,42181.82,0,#6,42363.64,0,#7,42545.45,0,#4,42727.27,0,#4,42909.09,0,#7,43090.91,0,#4,43272.73,0,
1|0|0|0|100|4|#6,43636.36,0,#7,43818.18,0,#4,44000,0,#6,44181.82,0,#7,44363.64,0,#4,44545.45,0,#6,44727.27,0,#7,44909.09,0,
1|0|0|0|100|4|#4,45090.91,0,#5,45272.73,0,#5,45363.64,0,#7,45454.55,0,#4,45636.36,0,#7,45818.18,0,#4,46000,0,#7,46181.82,0,
0|0|0|0|100|4|#0,46545.45,0,#3,46818.18,0,#1,46909.09,0,#0,47090.91,0,#3,47272.73,0,#1,47454.55,0,#2,47636.36,0,#3,47818.18,0,
0|0|0|0|100|4|#0,48000,0,#2,48181.82,0,#3,48363.64,0,#0,48545.45,0,#3,48727.27,0,#2,48909.09,0,#0,49090.91,0,
0|0|0|0|100|4|#0,49454.55,0,#3,49545.45,0,#2,49636.36,0,#3,49818.18,0,#0,50000,0,#2,50181.82,0,#3,50363.64,0,#0,50545.45,0,#3,50636.36,0,#2,50727.27,0,
0|0|0|0|100|4|#1,50909.09,0,#1,51090.91,0,#1,51181.82,0,#0,51272.73,0,#3,51454.55,0,#2,51636.36,0,#3,51818.18,0,#0,52000,0,
1|0|0|0|100|4|#4,52363.64,0,#7,52636.36,0,#5,52727.27,0,#4,52909.09,0,#7,53090.91,0,#5,53272.73,0,#6,53454.55,0,#7,53636.36,0,
1|0|0|0|100|4|#4,53818.18,0,#6,54000,0,#7,54181.82,0,#4,54363.64,0,#7,54545.45,0,#6,54727.27,0,#4,54909.09,0,
1|0|0|0|100|4|#4,55272.73,0,#7,55363.64,0,#6,55454.55,0,#7,55636.36,0,#4,55818.18,0,#6,56000,0,#7,56181.82,0,#4,56363.64,0,#7,56454.54,0,#6,56545.45,0,
1|0|0|0|100|4|#5,56727.27,0,#5,56909.09,0,#5,57000,0,#4,57090.91,0,#7,57272.73,0,#0,57454.54,0,#6,57454.54,0,#7,57636.36,0,#3,57636.36,0,#4,57818.18,0,#1,57818.18,0,#3,58000,0,
0|0|0|0|100|4|#3,58181.82,0,#3,58545.45,0,#1,58727.27,0,#2,58909.09,0,#0,59090.91,0,#1,59272.73,0,#3,59454.54,0,
0|0|0|0|100|4|#0,59636.36,272.7273,#2,60000,0,#2,60363.64,0,#2,60545.45,0,#2,60727.27,181.8182,
0|0|0|0|100|4|#2,61090.91,0,#2,61454.54,0,#3,61636.36,0,#1,61818.18,0,#0,62000,0,#3,62181.82,0,#0,62363.64,0,
0|0|0|0|100|4|#0,62545.45,0,#0,62909.09,0,#2,63272.73,0,#4,63272.73,0,#7,63454.54,0,#0,63636.36,0,#5,63636.36,0,#3,63818.18,0,#7,63818.18,0,
1|0|0|0|100|4|#7,64000,0,#7,64363.64,0,#5,64545.45,0,#6,64727.27,0,#4,64909.09,0,#5,65090.91,0,#7,65272.73,0,
1|0|0|0|100|4|#4,65454.54,272.7273,#6,65818.18,0,#6,66181.82,0,#6,66363.63,0,#6,66545.45,181.8182,
1|0|0|0|100|4|#6,66909.09,0,#6,67272.73,0,#7,67454.55,0,#5,67636.36,0,#4,67818.18,0,#7,68000,0,#4,68181.82,0,
1|0|0|0|100|4|#4,68363.63,0,#4,68727.27,0,#6,69090.91,0,#4,69454.55,0,#7,69636.36,0,
0|0|0|0|100|4|#2,69818.18,0,#3,70000,0,#0,70181.82,0,#3,70363.63,0,#2,70454.55,0,#0,70545.45,0,#3,70727.27,0,#2,70909.09,0,#3,71090.91,0,
0|0|0|0|100|4|#2,71272.73,0,#2,71636.36,0,#0,71818.18,0,#2,72000,0,#3,72181.82,0,#0,72363.63,0,#2,72545.45,0,
0|0|0|0|100|4|#0,72727.27,0,#0,73090.91,0,#0,73272.73,0,#3,73363.63,0,#2,73454.55,0,#3,73636.36,0,#2,73818.18,0,#0,74000,0,
0|0|0|0|100|4|#2,74181.82,0,#3,74363.63,0,#2,74545.45,0,#0,74727.27,0,#1,74909.09,0,#3,75090.91,0,#0,75272.73,0,#3,75454.55,0,
1|0|0|0|100|4|#6,75636.36,0,#7,75818.18,0,#4,76000,0,#7,76181.82,0,#6,76272.73,0,#4,76363.63,0,#7,76545.45,0,#6,76727.27,0,#7,76909.09,0,
1|0|0|0|100|4|#6,77090.91,0,#6,77454.55,0,#4,77636.36,0,#6,77818.18,0,#7,78000,0,#4,78181.82,0,#6,78363.63,0,
1|0|0|0|100|4|#4,78545.45,0,#4,78909.09,0,#4,79090.91,0,#7,79181.82,0,#6,79272.73,0,#7,79454.55,0,#6,79636.36,0,#4,79818.18,0,
1|0|0|0|100|4|#6,80000,0,#7,80181.82,0,#6,80363.63,0,#4,80545.45,0,#5,80727.27,0,#7,80909.09,0,#4,81090.91,0,#7,81272.73,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
