winter-horrorland|159|bf-christmas|gf|monster|1.3|mallEvil
0|0|0|0|100|4|#3,33396.23,0,#3,33490.57,0,#2,33584.91,0,#1,33773.59,0,#0,33962.27,283.0189,#3,34528.3,283.0189,
0|0|0|0|100|4|#2,35094.34,283.0189,#0,35471.7,283.0189,
0|0|0|0|100|4|#3,36415.09,94.33962,#2,36603.77,94.33962,#1,36792.45,94.33962,#0,36981.13,283.0189,#1,37358.49,283.0189,
0|0|0|0|100|4|#0,37735.85,283.0189,
1|0|0|0|100|4|#7,39433.96,0,#7,39528.3,0,#6,39622.64,0,#5,39811.32,0,#4,40000,283.0189,#7,40566.04,283.0189,
1|0|0|0|100|4|#6,41132.07,283.0189,#4,41509.43,283.0189,
1|0|0|0|100|4|#7,42452.83,94.33962,#6,42641.51,94.33962,#5,42830.19,94.33962,#4,43018.87,283.0189,#5,43396.23,283.0189,
1|0|0|0|100|4|#4,43773.59,283.0189,
0|0|0|0|100|4|#0,45283.02,283.0189,#1,45660.38,283.0189,#2,46037.73,0,#3,46226.41,0,#2,46415.09,0,#3,46603.77,0,
1|0|0|0|100|4|#1,46792.45,283.0189,#4,47169.81,0,#7,47547.17,0,#5,47924.53,0,
0|0|0|0|100|4|#6,48301.89,849.0566,#2,48301.89,283.0189,#0,48679.25,188.6792,#3,49056.61,0,#0,49245.28,0,#0,49339.62,0,#3,49433.96,0,#0,49622.64,0,
0|0|0|0|100|4|#2,49937.11,0,#2,50188.68,0,#2,50440.25,0,
1|0|0|0|100|4|#4,51320.75,283.0189,#5,51698.11,283.0189,#6,52075.47,0,#7,52264.15,0,#6,52452.83,0,#7,52641.51,0,
0|0|0|0|100|4|#5,52830.19,283.0189,#0,53207.55,0,#3,53584.91,0,#1,53962.27,0,
1|0|0|0|100|4|#2,54339.62,1132.075,#6,54339.62,188.6792,#4,54716.98,188.6792,#7,55094.34,0,#4,55283.02,0,#4,55377.36,0,#7,55471.7,0,#4,55660.38,0,
1|0|0|0|100|4|#6,56037.73,0,#6,56415.09,0,#6,56603.77,0,
0|0|0|0|100|4|#2,57547.17,0,#2,57924.53,0,#3,58018.87,0,#2,58113.21,0,#0,58301.89,0,#2,58490.57,0,#3,58679.25,0,
0|0|0|0|100|4|#1,58867.93,0,#0,59056.61,0,#3,59245.28,283.0189,#2,59622.64,0,#3,59811.32,0,#0,60000,283.0189,
1|0|0|0|100|4|#6,60566.04,0,#6,60943.39,0,#7,61037.73,0,#6,61132.07,0,#4,61320.75,0,#6,61509.43,0,#7,61698.11,0,
1|0|0|0|100|4|#5,61886.79,0,#4,62075.47,0,#7,62264.15,283.0189,#6,62641.51,0,#7,62830.19,0,#4,63018.87,283.0189,
0|0|0|0|100|4|#3,63396.23,0,#3,63584.91,0,#1,63773.59,283.0189,#0,64150.94,0,#0,64528.3,283.0189,
1|0|0|0|100|4|#0,64905.66,0,#7,64905.66,0,#7,65094.34,0,#5,65283.02,283.0189,#4,65660.38,0,#4,65849.05,0,#4,66037.73,283.0189,
1|0|0|0|100|4|#0,66415.09,0,#4,66415.09,0,#1,66603.77,0,#5,66603.77,0,#3,66981.13,0,#7,66981.13,0,#2,67358.49,0,#6,67358.49,0,#5,67735.85,754.717,#1,67735.85,754.717,
1|0|0|0|100|4|
0|0|0|0|100|4|#0,69622.64,0,#0,69716.98,0,#3,69811.32,0,#1,70188.68,0,#0,70377.36,0,#2,70566.04,0,#3,70754.72,0,
0|0|0|0|100|4|#2,71132.08,0,#3,71226.41,0,#1,71320.76,0,#0,71509.44,0,#2,71698.11,0,#3,71886.79,0,#0,72075.47,0,#3,72264.15,0,
0|0|0|0|100|4|#2,72452.83,283.0189,#0,72830.19,283.0189,#3,73207.55,283.0189,#0,73584.91,0,#1,73773.59,566.0377,
0|0|0|0|100|4|#0,74528.3,0,#3,74716.98,0,#0,74905.66,0,#3,75094.34,0,
1|0|0|0|100|4|#4,75660.38,0,#4,75754.72,0,#7,75849.05,0,#5,76226.41,0,#4,76415.09,0,#6,76603.77,0,#7,76792.45,0,
1|0|0|0|100|4|#6,77169.81,0,#7,77264.15,0,#5,77358.49,0,#4,77547.17,0,#6,77735.85,0,#7,77924.53,0,#4,78113.21,0,#7,78301.88,0,
1|0|0|0|100|4|#6,78490.56,283.0189,#4,78867.92,283.0189,#7,79245.28,283.0189,#4,79622.64,0,#5,79811.32,566.0377,
1|0|0|0|100|4|#4,80566.04,0,#7,80754.72,0,#4,80943.4,0,#7,81132.08,0,
0|0|0|0|100|4|#1,81509.44,0,#1,81698.11,0,#3,81886.79,0,#3,82075.47,0,#0,82264.15,0,#3,82452.83,0,#2,82641.51,0,#3,82830.19,0,
1|0|0|0|100|4|#5,83018.87,0,#5,83207.55,0,#7,83396.23,0,#7,83584.91,0,#4,83773.59,0,#7,83962.27,0,#6,84150.95,0,#7,84339.63,0,
0|0|0|0|100|4|#2,84528.3,0,#3,84716.98,0,#2,84905.66,0,#0,85094.34,0,#2,85283.02,0,#3,85471.7,0,#2,85660.38,0,#0,85849.05,0,
1|0|0|0|100|4|#6,86037.73,0,#7,86226.41,0,#6,86415.09,0,#4,86603.77,0,#6,86792.45,0,#7,86981.13,0,#6,87169.81,0,#4,87358.49,0,
0|0|0|0|100|4|#3,87547.17,283.0189,#0,87924.53,94.33962,#1,88113.21,283.0189,#4,88301.88,0,#0,88490.56,0,#7,88490.56,0,#1,88679.24,0,#7,88679.24,283.0189,
0|0|0|0|100|4|#5,89056.6,283.0189,#3,89056.6,0,#3,89433.96,0,#1,89811.32,283.0189,#7,89811.32,0,#4,90000,0,#6,90188.68,283.0189,
0|0|0|0|100|4|#5,90566.04,283.0189,#0,90566.04,0,#3,91132.08,0,#3,91698.11,0,
1|0|0|0|100|4|#2,92075.47,566.0377,#6,92075.47,566.0377,#7,92830.19,566.0377,#0,92830.19,566.0377,
0|0|0|0|100|4|#3,93773.59,0,#3,93867.92,0,#2,93962.27,0,#1,94150.95,0,#7,94150.95,0,#7,94245.28,0,#0,94339.63,283.0189,#6,94339.63,0,#5,94528.3,0,#4,94716.98,283.0189,#3,94905.66,283.0189,
1|0|0|0|100|4|#7,95283.02,283.0189,#2,95471.7,283.0189,#6,95849.05,283.0189,#0,95849.05,283.0189,#4,96226.41,283.0189,#3,96226.41,0,
1|0|0|0|100|4|#7,96603.77,0,#3,96792.45,94.33962,#2,96981.13,94.33962,#1,97169.81,94.33962,#7,97169.81,94.33962,#0,97358.49,283.0189,#6,97358.49,94.33962,#5,97547.17,94.33962,#4,97735.85,283.0189,#1,97735.85,283.0189,
0|0|0|0|100|4|#5,98113.21,283.0189,#0,98113.21,283.0189,#7,98490.56,283.0189,
0|0|0|0|100|4|#3,99811.32,0,#3,99905.66,0,#2,100000,0,#7,100188.7,0,#1,100188.7,0,#7,100283,0,#6,100377.4,0,#0,100377.4,283.0189,#5,100566,0,#4,100754.7,283.0189,#3,100943.4,283.0189,
1|0|0|0|100|4|#7,101320.8,283.0189,#2,101509.4,283.0189,#6,101886.8,283.0189,#0,101886.8,283.0189,#4,102264.1,283.0189,
0|0|0|0|100|4|#3,102830.2,94.33962,#2,103018.9,94.33962,#7,103207.5,94.33962,#1,103207.5,94.33962,#0,103396.2,283.0189,#6,103396.2,94.33962,#5,103584.9,94.33962,#1,103773.6,283.0189,#4,103773.6,283.0189,
0|0|0|0|100|4|#0,104150.9,283.0189,#5,104150.9,283.0189,#7,104528.3,283.0189,
0|0|0|0|100|4|#2,105849.1,0,#2,106226.4,0,#3,106320.8,0,#2,106415.1,0,#0,106603.8,0,#2,106792.5,0,#3,106981.1,0,
0|0|0|0|100|4|#1,107169.8,0,#0,107358.5,0,#3,107547.2,283.0189,#2,107924.5,0,#3,108113.2,0,#0,108301.9,283.0189,
1|0|0|0|100|4|#6,108867.9,0,#6,109245.3,0,#7,109339.6,0,#6,109434,0,#4,109622.6,0,#6,109811.3,0,#7,110000,0,
1|0|0|0|100|4|#5,110188.7,0,#4,110377.4,0,#7,110566,283.0189,#6,110943.4,0,#7,111132.1,0,#4,111320.8,283.0189,
0|0|0|0|100|4|#3,111698.1,0,#3,111886.8,0,#1,112075.5,283.0189,#0,112452.8,0,#0,112830.2,283.0189,
1|0|0|0|100|4|#0,113207.5,0,#7,113207.5,0,#7,113396.2,0,#5,113584.9,283.0189,#4,113962.3,0,#4,114150.9,0,#4,114339.6,283.0189,
0|0|0|0|100|4|#0,114717,0,#4,114717,0,#1,114905.7,0,#5,114905.7,0,#3,115283,0,#7,115283,0,#2,115660.4,0,#6,115660.4,0,#5,116037.7,754.717,#1,116037.7,754.717,
1|0|0|0|100|4|
0|0|0|0|100|4|#0,117924.5,0,#3,118301.9,0,#1,118490.6,0,#0,118679.2,0,#2,118867.9,0,#3,119056.6,0,
0|0|0|0|100|4|#2,119245.3,283.0189,#3,119622.6,283.0189,#0,120000,283.0189,#3,120377.4,283.0189,
1|0|0|0|100|4|#2,120754.7,754.717,#4,120943.4,0,#7,121320.8,0,#5,121509.4,0,#4,121698.1,0,#6,121886.8,0,#7,122075.5,0,
1|0|0|0|100|4|#6,122264.1,283.0189,#7,122641.5,283.0189,#4,123018.9,283.0189,#7,123396.2,754.717,
0|0|0|0|100|4|#1,123773.6,94.33962,#3,124150.9,0,#3,124339.6,0,#2,124528.3,283.0189,#0,124905.7,283.0189,
1|0|0|0|100|4|#1,125283,283.0189,#6,125283,0,#7,125471.7,0,#5,125660.4,283.0189,#7,126037.7,0,#4,126226.4,0,#4,126415.1,0,
0|0|0|0|100|4|#0,126792.5,0,#4,126792.5,0,#1,126981.1,0,#5,126981.1,0,#3,127358.5,0,#7,127358.5,0,#2,127735.9,0,#6,127735.9,0,#1,128113.2,377.3585,#5,128113.2,377.3585,
1|0|0|0|100|4|#4,129056.6,0,#7,129245.3,0,#4,129434,0,#5,129622.6,0,
1|0|0|0|100|4|#6,129811.3,0,
1|0|0|0|100|4|
