Cocoa|100|bf-christmas|gf|parents-christmas|1.5|mall
1|0|0|0|100|4|#6,36000,0,#4,36300,0,#7,36450,0,#4,36600,0,#7,36750,0,#6,36900,0,#4,37200,0,#7,37350,0,#4,37500,0,#7,37650,0,#6,37800,0,#5,38100,0,
0|0|0|0|100|4|#0,39000,0,#1,39150,0,#3,39450,0,#3,39750,0,#2,40050,0,#3,40200,0,#0,40500,0,
0|0|0|0|100|4|#1,40800,0,#0,41400,0,#1,41550,0,#3,41850,0,#3,42150,0,#2,42450,0,#3,42600,0,#0,42900,0,
0|0|0|0|100|4|#1,43200,0,#0,43800,0,#1,43950,0,#3,44250,0,#3,44550,0,#2,44850,0,#3,45000,0,#0,45300,0,
0|0|0|0|100|4|#0,45600,0,#3,45750,0,#0,46050,0,#3,46200,0,#0,46500,0,#3,46650,0,#0,46950,0,#3,47100,0,#0,47400,0,#3,47550,0,
1|0|0|0|100|4|#4,48600,0,#5,48750,0,#7,49050,0,#7,49350,0,#6,49650,0,#7,49800,0,#4,50100,0,
1|0|0|0|100|4|#5,50400,0,#4,51000,0,#5,51150,0,#7,51450,0,#7,51750,0,#6,52050,0,#7,52200,0,#4,52500,0,
1|0|0|0|100|4|#5,52800,0,#4,53400,0,#5,53550,0,#7,53850,0,#7,54150,0,#6,54450,0,#7,54600,0,#4,54900,0,
1|0|0|0|100|4|#4,55200,0,#7,55350,0,#4,55650,0,#7,55800,0,#4,56100,0,#7,56250,0,#4,56550,0,#7,56700,0,#4,57000,0,#7,57150,0,
0|1|0|0|100|4|#0,57750,0,#1,57900,0,#0,58050,0,#2,58200,450,#3,58800,450,#2,59400,150,#0,59700,750,
0|1|0|0|100|4|#2,60600,300,#3,61200,450,#2,61800,450,
0|1|0|0|100|4|#0,62400,0,#3,62550,0,#0,62700,0,#3,62850,0,#2,63000,0,#0,63300,0,#3,63450,0,#0,63600,0,#3,63750,0,#2,63900,0,#0,64200,0,#3,64350,0,#0,64500,0,#3,64650,0,
0|1|0|0|100|4|#2,64800,0,#0,65100,0,#3,65250,0,#0,65400,0,#3,65550,0,#2,65700,0,#0,66000,0,#3,66150,0,#0,66300,0,#3,66450,0,#2,66600,0,#1,66900,0,
1|0|0|0|100|4|#4,67350,0,#5,67500,0,#4,67650,0,#6,67800,450,#7,68400,450,#6,69000,150,#4,69300,750,
1|0|0|0|100|4|#6,70200,300,#7,70800,450,#6,71400,450,
1|0|0|0|100|4|#4,72000,0,#7,72150,0,#4,72300,0,#7,72450,0,#6,72600,0,#4,72900,0,#7,73050,0,#4,73200,0,#7,73350,0,#6,73500,0,#4,73800,0,#7,73950,0,#4,74100,0,#7,74250,0,
1|0|0|0|100|4|#6,74400,0,#4,74700,0,#7,74850,0,#4,75000,0,#7,75150,0,#6,75300,0,#4,75600,0,#7,75750,0,#4,75900,0,#7,76050,0,#6,76200,0,#5,76500,0,
0|0|0|0|100|4|#0,76800,0,#2,77400,0,#0,77700,0,#1,78150,0,#3,78450,0,#1,78750,0,#0,78900,0,
0|0|0|0|100|4|#0,79200,0,#2,79800,0,#0,80100,0,#1,80550,0,#3,80850,0,#1,81150,0,#0,81300,0,
1|0|0|0|100|4|#4,81600,0,#6,82200,0,#4,82500,0,#5,82950,0,#7,83250,0,#5,83550,0,#4,83700,0,
1|0|0|0|100|4|#4,84000,0,#6,84600,0,#4,84900,0,#5,85350,0,#7,85650,0,#5,85950,0,#4,86100,0,
0|1|0|0|100|4|#0,86400,0,#1,86550,0,#3,86700,0,#1,86850,0,#0,87000,0,#1,87150,0,#3,87300,0,#2,87450,0,#0,87600,0,#1,87750,0,#3,87900,0,#1,88050,0,#0,88200,0,#1,88350,0,#3,88500,0,#2,88650,0,
0|1|0|0|100|4|#0,88800,0,#1,88950,0,#3,89100,0,#1,89250,0,#0,89400,0,#1,89550,0,#3,89700,0,#2,89850,0,#3,90000,0,#0,90150,0,#3,90300,0,#1,90450,0,#3,90600,0,#1,90750,0,#2,90900,0,#0,91050,0,
1|0|0|0|100|4|#4,91200,0,#5,91350,0,#7,91500,0,#5,91650,0,#4,91800,0,#5,91950,0,#7,92100,0,#6,92250,0,#4,92400,0,#5,92550,0,#7,92700,0,#5,92850,0,#4,93000,0,#5,93150,0,#7,93300,0,#6,93450,0,
1|0|0|0|100|4|#4,93600,0,#5,93750,0,#7,93900,0,#5,94050,0,#4,94200,0,#5,94350,0,#7,94500,0,#6,94650,0,#7,94800,0,#4,94950,0,#7,95100,0,#5,95250,0,#7,95400,0,#5,95550,0,#6,95700,0,#4,95850,0,
0|1|0|0|100|4|#0,96000,0,#1,96150,0,#3,96300,0,#1,96450,0,#0,96600,0,#1,96750,0,#3,96900,0,#2,97050,0,#0,97200,0,#1,97350,0,#3,97500,0,#1,97650,0,#0,97800,0,#1,97950,0,#3,98100,0,#2,98250,0,
0|1|0|0|100|4|#0,98400,0,#1,98550,0,#3,98700,0,#1,98850,0,#0,99000,0,#1,99150,0,#3,99300,0,#2,99450,0,#3,99600,0,#0,99750,0,#3,99900,0,#1,100050,0,#3,100200,0,#1,100350,0,#2,100500,0,#0,100650,0,
1|0|0|0|100|4|#3,100800,600,#4,100800,0,#5,100950,0,#7,101100,0,#5,101250,0,#4,101400,0,#5,101550,0,#7,101700,0,#6,101850,0,#4,102000,0,#5,102150,0,#7,102300,0,#5,102450,0,#4,102600,0,#5,102750,0,#7,102900,0,#6,103050,0,
1|0|0|0|100|4|#4,103200,0,#5,103350,0,#7,103500,0,#5,103650,0,#4,103800,0,#5,103950,0,#7,104100,0,#6,104250,0,#7,104400,0,#4,104550,0,#7,104700,0,#5,104850,0,#7,105000,0,#5,105150,0,#6,105300,0,#4,105450,0,
1|0|0|0|100|4|#7,105600,600,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
