spookeez|150|bf|gf|spooky|2.4|spooky
1|0|0|0|100|4|#6,30400,0,#4,30600,0,#5,30700,0,#7,30800,0,#5,31200,0,#6,31600,0,#3,31600,0,#6,31800,0,#1,31800,0,
0|0|0|0|100|4|#0,32000,0,#1,32200,0,#3,32400,0,#3,32800,0,#2,33200,0,#3,33400,0,
0|0|0|0|100|4|#1,33600,0,#3,33800,0,#3,34000,0,#2,34400,0,#0,34800,0,#3,35000,0,
1|0|0|0|100|4|#4,35200,0,#5,35400,0,#7,35600,0,#7,36000,0,#6,36400,0,#7,36600,0,
1|0|0|0|100|4|#5,36800,0,#7,37000,0,#7,37200,0,#6,37600,0,#4,38000,0,#7,38200,0,
0|0|0|0|100|4|#2,38400,0,#3,38600,0,#1,38700,0,#0,38800,0,#0,39000,0,#2,39200,0,#3,39400,0,#1,39600,0,
0|0|0|0|100|4|#1,40000,0,#0,40200,0,#1,40300,0,#3,40400,0,#3,40600,0,#0,40800,0,#0,41000,0,#2,41200,0,2
1|0|0|0|100|4|#6,41600,0,#7,41800,0,#5,41900,0,#4,42000,0,#4,42200,0,#6,42400,0,#7,42600,0,#5,42800,0,
1|0|0|0|100|4|#5,43200,0,#4,43400,0,#5,43500,0,#7,43600,0,#7,43800,0,#4,44000,0,#4,44200,0,#0,44400,0,#3,44600,0,#6,44400,0,2
0|0|0|0|100|4|#2,44800,0,#3,45000,0,#1,45100,0,#3,45200,0,#3,45500,0,#3,45600,0,#3,45900,0,#3,46200,0,
0|0|0|0|100|4|#2,46400,0,#0,46600,0,#1,46700,0,#3,46800,0,#3,47100,0,#1,47200,0,#0,47400,0,#2,47500,0,#3,47600,0,#3,47800,0,#1,47900,0,
0|0|0|0|100|4|#2,48000,0,#3,48200,0,#1,48300,0,#3,48400,0,#3,48800,0,#3,49100,0,#3,49400,0,
0|0|0|0|100|4|#2,49600,0,#0,49800,0,#1,49900,0,#3,50000,0,#3,50400,0,#4,50800,0,#7,51000,0,
1|0|0|0|100|4|#6,51200,0,#7,51400,0,#5,51500,0,#7,51600,0,#7,51900,0,#7,52000,0,#7,52300,0,#7,52600,0,
1|0|0|0|100|4|#6,52800,0,#4,53000,0,#5,53100,0,#7,53200,0,#7,53500,0,#5,53600,0,#4,53800,0,#6,53900,0,#7,54000,0,#7,54200,0,#5,54300,0,
1|0|0|0|100|4|#6,54400,0,#7,54600,0,#5,54700,0,#7,54800,0,#7,55200,0,#7,55500,0,#7,55800,0,
1|0|0|0|100|4|#6,56000,0,#4,56200,0,#5,56300,0,#7,56400,0,#7,56800,0,
0|0|0|0|100|4|#2,57600,300,#3,58000,300,#1,58400,300,#2,58800,300,
0|0|0|0|100|4|#2,59200,100,#3,59400,100,#0,59600,300,#1,60000,300,#2,60400,300,
0|0|0|0|100|4|#1,60800,0,#1,61200,0,#3,61400,0,#3,61800,0,#0,62000,0,#3,62200,0,
0|0|0|0|100|4|#1,62400,0,#1,62800,0,#3,63000,0,#3,63400,0,#0,63600,0,#3,63800,0,
1|0|0|0|100|4|#6,64000,300,#7,64400,300,#5,64800,300,#6,65200,300,
1|0|0|0|100|4|#6,65600,100,#7,65800,100,#4,66000,300,#5,66400,300,#6,66800,300,
1|0|0|0|100|4|#5,67200,0,#5,67600,0,#7,67800,0,#7,68200,0,#4,68400,0,#7,68600,0,
1|0|0|0|100|4|#0,68800,300,#5,68800,0,#1,69200,300,#5,69200,0,#7,69400,0,#3,69600,300,#7,69800,0,#1,70000,300,#4,70000,0,#7,70200,0,
0|0|0|0|100|4|#2,70400,0,#2,70600,0,#3,70800,0,#2,71000,0,#3,71400,0,#1,71600,0,#3,71800,0,
0|0|0|0|100|4|#2,72000,0,#2,72200,0,#3,72400,0,#2,72600,0,#3,73000,0,#1,73200,0,
0|0|0|0|100|4|#2,73600,0,#2,73800,0,#3,74000,0,#2,74200,0,#3,74600,0,#1,74800,0,#3,75000,0,
0|0|0|0|100|4|#2,75200,0,#4,75200,300,#2,75400,0,#3,75600,0,#5,75600,300,#2,75800,0,#7,76000,300,#3,76200,0,#1,76400,0,#5,76400,300,
1|0|0|0|100|4|#6,76800,0,#6,77000,0,#7,77200,0,#6,77400,0,#7,77800,0,#5,78000,0,#7,78200,0,
1|0|0|0|100|4|#6,78400,0,#6,78600,0,#7,78800,0,#6,79000,0,#7,79400,0,#5,79600,0,
1|0|0|0|100|4|#6,80000,0,#6,80200,0,#7,80400,0,#6,80600,0,#7,81000,0,#5,81200,0,#7,81400,0,
1|0|0|0|100|4|#6,81600,0,#0,81600,300,#6,81800,0,#7,82000,0,#1,82000,300,#6,82200,0,#3,82400,300,#7,82600,0,#5,82800,0,#1,82800,300,
0|0|0|0|100|4|#2,83200,0,#2,83400,0,#3,83600,0,#2,83800,0,#3,84200,0,#1,84400,0,#3,84600,0,
0|0|0|0|100|4|#2,84800,0,#2,85000,0,#3,85200,0,#2,85400,0,#3,85800,0,#1,86000,0,
0|0|0|0|100|4|#2,86400,0,#2,86600,0,#3,86800,0,#2,87000,0,#3,87400,0,#1,87600,0,#3,87800,0,
0|0|0|0|100|4|#2,88000,0,#4,88000,300,#2,88200,0,#3,88400,0,#5,88400,300,#2,88600,0,#7,88800,300,#3,89000,0,#1,89200,0,#5,89200,300,
1|0|0|0|100|4|#6,89600,0,#6,89800,0,#7,90000,0,#6,90200,0,#7,90600,0,#5,90800,0,#7,91000,0,
1|0|0|0|100|4|#6,91200,0,#6,91400,0,#7,91600,0,#6,91800,0,#7,92200,0,#5,92400,0,
1|0|0|0|100|4|#6,92800,0,#6,93000,0,#7,93200,0,#6,93400,0,#7,93800,0,#5,94000,0,#7,94200,0,
1|0|0|0|100|4|#6,94400,0,#6,94600,0,#7,94800,0,#6,95000,0,#7,95400,0,#5,95600,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|150|4|
