Guns|185|bf|gf|tankman|2.5|tankstage
1|0|0|0|100|4|#4,25945.94,243.2432,#5,26270.27,0,#7,26432.43,0,#4,26594.59,243.2432,#5,26918.92,0,#6,27081.08,0,
1|0|0|0|100|4|#7,27243.24,0,#5,27405.4,0,#7,27567.57,0,#6,27729.73,0,#4,27891.89,0,#5,28054.05,0,#7,28216.21,0,#6,28378.38,0,
1|0|0|0|100|4|#5,28702.7,0,#6,29513.51,0,#4,29675.67,0,#5,28783.78,0,#4,28864.87,0,#7,29189.19,0,#7,29351.35,0,#5,28540.54,0,false#6,29027.03,0,false
1|0|0|0|100|4|#6,30486.48,0,#7,30567.57,0,#4,30648.65,0,#5,30810.81,0,#4,30891.89,0,#7,30972.97,0,#6,29837.84,0,#7,30000,0,#4,30162.16,0,#7,30324.32,0,
0|0|0|0|100|4|#0,31945.94,0,#2,31135.13,0,false#1,31621.62,0,false#1,31702.7,0,false#2,31783.78,0,false#0,31297.3,0,false#3,31459.46,0,false#3,32108.11,0,false#3,32270.27,0,false
0|0|0|0|100|4|#0,33243.24,0,#2,32432.43,0,#1,32918.92,0,#1,33000,0,#2,33081.08,0,#0,32594.59,0,#3,32756.76,0,#3,33405.41,0,#3,33567.57,0,false
0|0|0|0|100|4|#2,34378.38,0,#3,34054.05,0,#3,34864.86,0,#6,33729.73,405.4054,false#0,34216.21,0,false#0,34297.3,0,false#0,34702.7,0,false#1,34540.54,0,false#2,33729.73,0,false#3,33810.81,0,false#2,33891.89,0,false
0|0|0|0|100|4|#2,35675.68,0,#3,35351.35,0,#3,36162.16,0,#0,35513.51,0,#0,35594.59,0,#0,36000,0,#5,35027.03,567.5676,false#4,35675.68,405.4054,false#3,35756.76,0,false#3,35837.84,0,false#1,35918.92,0,false#2,35027.03,0,false#3,35108.11,0,false
1|0|0|0|100|4|#4,37135.13,0,#6,36324.32,0,#5,36810.81,0,#5,36891.89,0,#6,36972.97,0,#4,36486.49,0,#7,36648.65,0,#7,37297.3,0,#7,37459.46,0,#6,36405.41,0,false
1|0|0|0|100|4|#4,38432.43,0,#6,37621.62,0,#5,38108.11,0,#5,38189.19,0,#6,38270.27,0,#4,37783.79,0,#7,37945.95,0,#7,38594.59,0,#7,38756.76,0,#6,37702.7,0,false
1|0|0|0|100|4|#6,39567.57,0,#7,39243.24,0,#7,40054.05,0,#4,39405.41,0,#4,39486.49,0,#4,39891.89,0,#5,39729.73,0,#7,39000,0,#6,39081.08,0,#6,38918.92,0,false
1|0|0|0|100|4|#6,40864.86,0,#7,40540.54,0,#7,41351.35,0,#4,40702.7,0,#4,40783.79,0,#4,41189.19,0,#7,40945.95,0,#7,41027.03,0,#5,41108.11,0,#6,40216.21,0,#7,40297.3,0,
0|0|0|0|100|4|#1,41513.51,0,#5,41513.51,324.3243,#0,41594.59,0,#3,41675.67,0,#2,41837.84,0,#3,42000,0,#2,42081.08,0,#0,42162.16,0,#3,42324.32,0,#0,42486.48,0,#2,42567.57,0,#0,42648.64,0,
0|0|0|0|100|4|#1,42810.81,0,#0,42972.97,0,#2,43135.13,0,#0,43297.29,0,#1,43459.46,0,#0,43621.62,0,#2,43783.78,0,#0,43945.94,0,
0|0|0|0|100|4|#1,44108.11,0,#0,44189.19,0,#3,44270.27,0,#2,44432.43,0,#3,44594.59,0,#2,44675.67,0,#0,44756.75,0,#3,44918.91,0,#0,45081.08,0,#2,45162.16,0,#0,45243.24,0,
0|0|0|0|100|4|#1,45405.4,0,#5,45405.4,243.2432,#0,45567.57,0,#2,45729.73,0,#4,45729.73,243.2432,#0,45891.89,0,#3,46054.05,0,#6,46054.05,243.2432,#0,46216.21,0,#2,46378.38,0,#5,46378.38,162.1622,#0,46540.54,0,
1|0|0|0|100|4|#5,46702.7,0,#4,46783.78,0,#7,46864.86,0,#6,47027.02,0,#7,47189.19,0,#6,47270.27,0,#4,47351.35,0,#7,47513.51,0,#4,47675.67,0,#6,47756.75,0,#4,47837.84,0,
1|0|0|0|100|4|#5,48000,0,#4,48162.16,0,#6,48324.32,0,#4,48486.48,0,#5,48648.64,0,#4,48810.81,0,#6,48972.97,0,#4,49135.13,0,
1|0|0|0|100|4|#5,49297.29,0,#4,49378.38,0,#7,49459.46,0,#6,49621.62,0,#7,49783.78,0,#6,49864.86,0,#4,49945.94,0,#7,50108.11,0,#4,50270.27,0,#6,50351.35,0,#4,50432.43,0,
1|0|0|0|100|4|#5,50594.59,0,#4,50756.75,0,#6,50918.91,0,#4,51081.08,0,#7,51243.24,0,#4,51405.4,0,#6,51567.56,0,#4,51729.73,0,
0|0|0|0|100|4|#2,51891.89,0,#3,52054.05,0,#0,52216.21,0,#1,52297.29,0,#0,52702.7,0,#1,52864.86,0,#3,53027.02,243.2432,#0,52378.38,0,false#2,52540.54,0,false#0,52945.95,0,false
0|0|0|0|100|4|#2,53351.35,0,#1,53432.43,0,#0,53513.51,0,#2,53675.67,0,#0,53837.84,0,#3,54000,0,#1,54162.16,0,#0,54324.32,0,
0|0|0|0|100|4|#2,54486.48,0,#1,54567.56,0,#0,54648.64,0,#3,54810.81,0,#0,54972.97,0,#2,55135.13,0,#1,55216.21,0,#0,55297.29,0,#0,55459.46,0,#3,55621.62,0,
0|0|0|0|100|4|#0,56108.11,0,#2,56270.27,0,#3,56432.43,0,#1,56594.59,0,#0,56756.75,0,#2,56918.91,0,#1,55783.79,0,false#3,55945.95,0,false
1|0|0|0|100|4|#6,57081.07,0,#7,57243.24,0,#4,57405.4,0,#5,57486.48,0,#4,57891.89,0,#5,58054.05,0,#7,58216.21,243.2432,#4,57567.57,0,#6,57729.73,0,#4,58135.14,0,#1,57081.08,324.3243,false
1|0|0|0|100|4|#6,58540.54,0,#5,58621.62,0,#4,58702.7,0,#6,58864.86,0,#4,59027.02,0,#7,59189.18,0,#5,59351.35,0,#4,59513.51,0,
1|0|0|0|100|4|#6,59675.67,0,#5,59756.75,0,#4,59837.83,0,#7,60000,0,#4,60162.16,0,#6,60324.32,0,#5,60405.4,0,#4,60486.48,0,#4,60648.64,0,#7,60810.8,0,
1|0|0|0|100|4|#5,60972.97,0,#6,61135.13,0,#4,61297.29,0,#6,61459.46,0,#7,61621.62,0,#5,61783.78,0,#4,61945.94,0,#6,62108.11,0,
0|0|0|0|100|4|#1,62270.27,0,#5,62270.27,324.3243,#3,62432.43,0,#2,62594.59,0,#3,62756.75,0,#1,62918.91,0,#0,63081.08,0,#2,63243.24,0,#3,63405.4,0,
0|0|0|0|100|4|#1,63567.56,0,#3,63729.73,0,#2,63891.89,0,#3,64054.05,0,#1,64216.21,0,#0,64378.38,0,#2,64540.54,0,#3,64702.7,0,
0|0|0|0|100|4|#2,64864.86,0,#0,64945.94,0,#1,65027.02,0,#2,65189.18,0,#0,65270.27,0,#1,65351.35,0,#2,65675.67,0,#2,65999.99,0,#3,65513.51,0,false#0,65594.59,0,false#3,65837.84,0,false#0,65918.92,0,false
0|0|0|0|100|4|#2,66162.16,0,#3,66324.32,0,#2,66486.48,0,#3,66648.64,0,#1,66810.8,0,#0,66972.97,0,#3,67135.13,0,#0,67297.29,0,
1|0|0|0|100|4|#5,67459.45,0,#1,67459.45,324.3243,#7,67621.62,0,#6,67783.78,0,#7,67945.95,0,#5,68108.1,0,#4,68270.27,0,#6,68432.43,0,#7,68594.59,0,
1|0|0|0|100|4|#5,68756.75,0,#7,68918.91,0,#6,69081.08,0,#7,69243.24,0,#5,69405.4,0,#4,69567.56,0,#6,69729.73,0,#7,69891.89,0,
1|0|0|0|100|4|#6,70054.05,0,#4,70135.13,0,#5,70216.21,0,#6,70378.38,0,#4,70459.45,0,#5,70540.54,0,#6,70864.86,0,#6,71189.18,0,#7,70702.7,0,#4,70783.78,0,#7,71027.02,0,#4,71108.11,0,
1|0|0|0|100|4|#6,71351.35,0,#7,71513.51,0,#6,71675.67,0,#7,71837.83,0,#5,71999.99,0,#4,72162.16,0,#7,72324.32,0,#4,72486.48,0,
0|0|0|0|100|4|#2,72648.64,0,#6,72648.64,648.6486,#0,72810.8,0,#1,72972.97,0,#0,73135.13,0,#3,73297.29,243.2432,#2,73621.62,0,#0,73702.7,0,#3,73783.78,0,
0|0|0|0|100|4|#1,73945.94,0,#0,74027.02,0,#3,74108.1,0,#2,74270.27,0,#3,74432.43,0,#1,74594.59,0,#0,74675.67,0,#3,74756.75,0,#2,74918.91,0,#3,75081.08,0,
0|0|0|0|100|4|#2,75243.23,0,#2,75405.4,0,#3,75486.48,0,#2,75567.56,0,#2,75729.73,0,#0,75810.8,0,#1,75891.89,0,#0,76054.05,0,#2,76216.21,0,
0|0|0|0|100|4|#3,76540.54,0,#1,76702.7,0,#0,76783.78,0,#1,76864.86,0,#2,77027.02,0,#3,77108.1,0,#1,77189.19,0,#3,77351.34,0,#0,77513.51,0,#1,77675.67,0,
0|0|0|0|100|4|#3,77837.84,0,#2,77999.99,0,#1,78162.16,0,#0,78324.32,0,#1,78405.4,0,#3,78486.48,0,#1,78648.64,0,#1,78810.8,0,#0,78972.97,0,#3,79054.05,0,
0|0|0|0|100|4|#1,79135.13,0,#3,79297.29,0,#2,79459.45,0,#3,79621.62,0,#2,79783.78,0,#0,79945.94,0,#1,80108.1,0,#0,80270.27,0,#1,80351.34,0,
0|0|0|0|100|4|#3,80432.43,0,#2,80594.59,0,#1,80756.75,0,#0,80918.91,0,#1,80999.99,0,#3,81081.08,0,#1,81243.23,0,#1,81405.4,0,#0,81567.56,0,#3,81648.64,0,
0|0|0|0|100|4|#1,81729.73,0,#3,81891.88,0,#2,82054.05,0,#3,82216.21,0,#2,82378.38,0,#0,82540.53,0,#1,82702.7,0,#0,82864.86,0,#1,82945.94,0,
1|0|0|0|100|4|#6,83027.02,0,#4,83189.19,0,#5,83351.34,0,#4,83513.51,0,#7,83675.67,243.2432,#6,83999.99,0,#4,84081.08,0,#7,84162.16,0,
1|0|0|0|100|4|#5,84324.32,0,#4,84405.4,0,#7,84486.48,0,#6,84648.64,0,#7,84810.8,0,#5,84972.97,0,#4,85054.05,0,#7,85135.13,0,#6,85297.29,0,#7,85459.45,0,
1|0|0|0|100|4|#6,85621.62,0,#6,85783.78,0,#7,85864.86,0,#6,85945.94,0,#6,86108.1,0,#4,86189.18,0,#5,86270.27,0,#4,86432.43,0,#6,86594.59,0,
1|0|0|0|100|4|#7,86918.91,0,#5,87081.08,0,#4,87162.16,0,#5,87243.23,0,#6,87405.4,0,#7,87486.48,0,#5,87567.56,0,#7,87729.73,0,#4,87891.88,0,#5,88054.05,0,
1|0|0|0|100|4|#7,88216.21,0,#6,88378.38,0,#5,88540.53,0,#4,88702.7,0,#5,88783.78,0,#7,88864.86,0,#5,89027.02,0,#5,89189.18,0,#4,89351.34,0,#7,89432.43,0,
1|0|0|0|100|4|#5,89513.51,0,#7,89675.67,0,#6,89837.83,0,#7,89999.99,0,#6,90162.16,0,#4,90324.32,0,#5,90486.48,0,#4,90648.64,0,#5,90729.73,0,
1|0|0|0|100|4|#7,90810.8,0,#6,90972.97,0,#5,91135.13,0,#4,91297.29,0,#5,91378.38,0,#7,91459.45,0,#5,91621.62,0,#5,91783.78,0,#4,91945.94,0,#7,92027.02,0,
1|0|0|0|100|4|#5,92108.1,0,#7,92270.27,0,#6,92432.43,0,#7,92594.59,0,#6,92756.75,0,#4,92918.91,0,#5,93081.08,0,#4,93243.23,0,#5,93324.32,0,
0|0|0|0|100|4|#2,93405.4,0,#7,93405.4,324.3243,#1,93567.56,0,#0,93729.73,0,#1,93891.88,0,#2,94054.05,0,#2,94216.21,0,#3,94378.38,0,#2,94459.45,0,#3,94540.53,0,
0|0|0|0|100|4|#2,94702.7,0,#0,94864.86,0,#3,95027.02,0,#1,95189.18,0,#2,95351.34,0,#0,95513.51,0,#3,95675.67,0,#1,95837.83,0,
0|0|0|0|100|4|#2,95999.99,0,#3,96162.16,0,#2,96324.32,0,#0,96486.48,0,#3,96567.56,0,#1,96648.64,0,#3,96810.8,0,#1,96972.97,0,#0,97135.13,0,
0|0|0|0|100|4|#2,97297.29,0,#3,97459.45,0,#2,97621.62,0,#0,97783.77,0,#1,97945.94,0,#0,98108.1,0,#1,98270.27,0,#3,98432.43,243.2432,
0|0|0|0|100|4|#1,98756.75,0,#3,98918.91,0,#2,99081.08,0,#0,99162.16,0,#3,99243.23,0,#0,99405.4,0,#1,99567.56,0,#2,99729.73,0,#3,99810.8,0,
0|0|0|0|100|4|#1,99891.88,0,#3,100054,0,#2,100216.2,0,#3,100378.4,0,#2,100540.5,0,#0,100702.7,0,#3,100864.9,0,#2,101027,0,#0,101108.1,0,
0|0|0|0|100|4|#3,101189.2,0,#0,101351.3,0,#1,101513.5,0,#2,101675.7,0,#0,101756.8,0,#3,101837.8,0,#0,102000,0,#1,102162.2,0,#2,102324.3,0,#3,102405.4,0,
0|0|0|0|100|4|#1,102486.5,0,#3,102648.6,0,#2,102810.8,0,#3,102973,0,#2,103135.1,0,#0,103297.3,0,#3,103459.5,0,#2,103621.6,0,#0,103702.7,0,
1|0|0|0|100|4|#6,103783.8,0,#5,103945.9,0,#4,104108.1,0,#5,104270.3,0,#6,104432.4,0,#6,104594.6,0,#7,104756.8,0,#6,104837.8,0,#7,104918.9,0,
1|0|0|0|100|4|#6,105081.1,0,#4,105243.2,0,#7,105405.4,0,#5,105567.6,0,#6,105729.7,0,#4,105891.9,0,#7,106054,0,#5,106216.2,0,
1|0|0|0|100|4|#6,106378.4,0,#7,106540.5,0,#6,106702.7,0,#4,106864.9,0,#7,106945.9,0,#5,107027,0,#7,107189.2,0,#5,107351.3,0,#4,107513.5,0,
1|0|0|0|100|4|#6,107675.7,0,#7,107837.8,0,#6,108000,0,#4,108162.2,0,#5,108324.3,0,#4,108486.5,0,#5,108648.6,0,#7,108810.8,243.2432,
1|0|0|0|100|4|#5,109135.1,0,#7,109297.3,0,#6,109459.5,0,#4,109540.5,0,#7,109621.6,0,#4,109783.8,0,#5,109945.9,0,#6,110108.1,0,#7,110189.2,0,
1|0|0|0|100|4|#5,110270.3,0,#7,110432.4,0,#6,110594.6,0,#7,110756.8,0,#6,110918.9,0,#4,111081.1,0,#7,111243.2,0,#6,111405.4,0,#4,111486.5,0,
1|0|0|0|100|4|#7,111567.6,0,#4,111729.7,0,#5,111891.9,0,#6,112054,0,#4,112135.1,0,#7,112216.2,0,#4,112378.4,0,#5,112540.5,0,#6,112702.7,0,#7,112783.8,0,
1|0|0|0|100|4|#5,112864.9,0,#7,113027,0,#6,113189.2,0,#7,113351.3,0,#6,113513.5,0,#4,113675.7,0,#7,113837.8,0,#6,114000,0,#4,114081.1,0,
0|0|0|0|100|4|#3,114162.2,0,#6,114162.2,648.6486,#1,114324.3,0,#0,114486.5,0,#1,114567.6,0,#3,114648.6,81.08108,#2,114810.8,0,#3,114973,0,#0,115135.1,0,#1,115216.2,0,#3,115297.3,81.08108,
0|0|0|0|100|4|#1,115459.5,0,#0,115540.5,0,#2,115621.6,0,#3,115783.8,0,#1,115945.9,0,#1,116108.1,0,#0,116189.2,0,#2,116270.3,0,#3,116432.4,0,#1,116594.6,0,
0|0|0|0|100|4|#2,116756.8,81.08108,#1,116918.9,0,#3,117000,0,#1,117081.1,81.08108,#3,117243.2,0,#1,117324.3,0,#0,117405.4,0,#1,117567.6,0,#0,117729.7,0,#2,117891.9,0,#0,117973,0,
0|0|0|0|100|4|#2,118054,81.08108,#1,118216.2,0,#3,118297.3,0,#1,118378.4,81.08108,#3,118540.5,0,#1,118621.6,0,#0,118702.7,0,#1,118864.9,0,#0,119027,0,#2,119189.2,0,
0|0|0|0|100|4|#3,119351.3,0,#1,119513.5,0,#3,119675.7,0,#2,119837.8,0,#0,119918.9,0,#3,120000,0,#0,120162.2,0,#1,120324.3,0,#2,120486.5,0,#3,120567.6,0,
0|0|0|0|100|4|#1,120648.6,0,#3,120810.8,0,#2,120973,0,#3,121135.1,0,#2,121297.3,0,#0,121459.5,0,#3,121621.6,0,#2,121783.8,0,#0,121864.9,0,
0|0|0|0|100|4|#3,121945.9,0,#0,122108.1,0,#1,122270.3,0,#2,122432.4,0,#0,122513.5,0,#3,122594.6,0,#0,122756.8,0,#1,122918.9,0,#2,123081.1,0,#3,123162.2,0,
0|0|0|0|100|4|#1,123243.2,0,#3,123405.4,0,#2,123567.6,0,#3,123729.7,0,#2,123891.9,0,#0,124054,0,#3,124216.2,0,#2,124378.4,0,#0,124459.5,0,
1|0|0|0|100|4|#7,124540.5,0,#5,124702.7,0,#4,124864.9,0,#5,124945.9,0,#7,125027,81.08108,#6,125189.2,0,#7,125351.3,0,#4,125513.5,0,#5,125594.6,0,#7,125675.7,81.08108,
1|0|0|0|100|4|#5,125837.8,0,#4,125918.9,0,#6,126000,0,#7,126162.2,0,#5,126324.3,0,#5,126486.5,0,#4,126567.6,0,#6,126648.6,0,#7,126810.8,0,#5,126973,0,
1|0|0|0|100|4|#6,127135.1,81.08108,#5,127297.3,0,#7,127378.4,0,#5,127459.5,81.08108,#7,127621.6,0,#5,127702.7,0,#4,127783.8,0,#5,127945.9,0,#4,128108.1,0,#6,128270.3,0,#4,128351.3,0,
1|0|0|0|100|4|#6,128432.4,81.08108,#5,128594.6,0,#7,128675.7,0,#5,128756.8,81.08108,#7,128918.9,0,#5,129000,0,#4,129081.1,0,#5,129243.2,0,#4,129405.4,0,#6,129567.6,0,
1|0|0|0|100|4|#7,129729.7,0,#5,129891.9,0,#7,130054,0,#6,130216.2,0,#4,130297.3,0,#7,130378.4,0,#4,130540.5,0,#5,130702.7,0,#6,130864.9,0,#7,130945.9,0,
1|0|0|0|100|4|#5,131027,0,#7,131189.2,0,#6,131351.3,0,#7,131513.5,0,#6,131675.7,0,#4,131837.8,0,#7,132000,0,#6,132162.2,0,#4,132243.2,0,
1|0|0|0|100|4|#7,132324.3,0,#4,132486.5,0,#5,132648.6,0,#6,132810.8,0,#4,132891.9,0,#7,132973,0,#4,133135.1,0,#5,133297.3,0,#6,133459.5,0,#7,133540.5,0,
1|0|0|0|100|4|#5,133621.6,0,#7,133783.8,0,#6,133945.9,0,#7,134108.1,0,#6,134270.3,0,#4,134432.4,0,#7,134594.6,0,#6,134756.8,0,#4,134837.8,0,
1|0|0|0|185|4|
1|0|0|0|185|4|
1|0|0|0|185|4|
1|0|0|0|185|4|
1|0|0|0|185|4|
