Stress|178|bf-holding-gf|pico-speaker|tankman|2.6|tankstage
1|0|0|0|100|4|#4,17528.09,0,#4,17865.17,0,#4,18202.25,0,#4,18370.79,0,#6,18539.33,0,#7,18623.6,0,#6,18707.87,0,
1|0|0|0|100|4|#5,18876.4,0,#7,19044.94,0,#6,19213.48,0,#5,19382.02,0,#7,19550.56,0,#6,19719.1,0,#5,19887.64,0,#7,19971.91,0,#6,20056.18,0,
1|0|0|0|100|4|#4,20224.72,0,#7,20393.26,0,#6,20561.8,0,#7,20730.34,0,#5,20898.88,0,#7,21067.42,0,#4,21235.96,0,#7,21404.49,0,
0|0|0|0|100|4|#5,21573.03,0,#3,21573.03,0,#2,21741.57,0,#0,21910.11,0,#5,21910.11,0,#2,22078.65,0,#5,22247.19,0,#3,22247.19,0,#2,22415.73,0,#0,22584.27,0,#5,22584.27,0,#2,22752.81,0,
0|0|0|0|100|4|#3,22921.35,0,#6,22921.35,0,#2,23005.62,0,#3,23089.89,0,#6,23258.43,0,#3,23258.43,0,#2,23426.97,0,#7,23595.51,252.809,#3,23595.51,0,#0,23764.04,0,#4,23932.58,252.809,#1,23932.58,0,#0,24101.12,0,
1|0|0|0|100|4|#7,24269.66,0,#2,24269.66,0,#6,24438.2,0,#4,24606.74,0,#6,24775.28,0,#7,24943.82,0,#6,25112.36,0,#4,25280.9,0,#6,25449.44,0,
1|0|0|0|100|4|#7,25617.98,0,#6,25702.25,0,#7,25786.52,0,#7,25955.06,0,#6,26123.6,0,#7,26292.13,0,#4,26460.67,0,#5,26629.21,0,#4,26797.75,0,
0|0|0|0|100|4|#6,26966.29,505.618,#3,26966.29,0,#2,27134.83,0,#3,27303.37,0,#0,27471.91,0,#7,27640.45,505.618,#3,27640.45,0,#2,27808.99,0,#3,27977.53,0,#0,28146.07,0,
1|0|0|0|100|4|#5,28314.61,505.618,#3,28314.61,0,#2,28398.88,0,#3,28483.15,0,#0,28651.69,0,#3,28820.22,0,#6,28988.76,505.618,#2,28988.76,0,#0,29157.3,0,#3,29325.84,0,#1,29494.38,0,
1|0|0|0|100|4|#7,29662.92,0,#0,29662.92,0,#6,29831.46,0,#0,30000,0,#7,30000,0,#4,30168.54,0,#0,30337.08,0,#7,30337.08,0,#6,30505.62,0,#0,30674.16,0,#7,30674.16,0,#4,30842.7,0,
0|0|0|0|100|4|#0,31011.24,0,#7,31011.24,0,#6,31095.51,0,#7,31179.78,0,#4,31348.31,0,#0,31348.31,0,#7,31516.85,0,#0,31685.39,0,#6,31685.39,0,#0,31853.93,0,#4,31853.93,0,#0,32022.47,0,#7,32022.47,0,#0,32191.01,0,#5,32191.01,0,
0|0|0|0|100|4|#5,32359.55,674.1573,#2,32359.55,0,#3,32528.09,0,#1,32696.63,0,#3,32865.17,0,#0,33033.71,0,#3,33202.25,0,#1,33370.79,0,#3,33539.32,0,#3,33623.59,0,
0|0|0|0|100|4|#1,33707.86,0,#3,33876.41,0,#1,34044.95,0,#2,34213.48,0,#0,34382.02,0,#2,34550.56,0,#0,34719.1,0,#3,34887.64,0,#1,34971.91,0,
0|0|0|0|100|4|#2,35056.18,0,#3,35224.72,0,#2,35393.26,0,#3,35561.8,0,#0,35730.34,0,#1,35898.88,0,#0,36067.41,0,#2,36151.68,0,#0,36235.95,0,
0|0|0|0|100|4|#3,36404.5,0,#1,36573.04,0,#0,36741.57,0,#1,36910.11,0,#0,37078.65,0,#1,37247.19,0,#1,37415.73,0,#3,37584.27,0,#3,37668.54,0,
1|0|0|0|100|4|#6,37752.81,0,#7,37921.35,0,#5,38089.89,0,#7,38258.43,0,#4,38426.96,0,#7,38595.5,0,#5,38764.04,0,#7,38932.59,0,#7,39016.86,0,
1|0|0|0|100|4|#5,39101.13,0,#7,39269.66,0,#5,39438.2,0,#6,39606.74,0,#4,39775.28,0,#6,39943.82,0,#4,40112.36,0,#7,40280.9,0,#5,40365.17,0,
1|0|0|0|100|4|#6,40449.44,0,#7,40617.98,0,#6,40786.52,0,#7,40955.05,0,#4,41123.59,0,#5,41292.14,0,#4,41460.68,0,#6,41544.95,0,#4,41629.21,0,
1|0|0|0|100|4|#7,41797.75,0,#5,41966.29,0,#4,42134.83,0,#5,42303.37,0,#4,42471.91,0,#5,42640.45,0,#5,42808.99,0,#7,42977.53,0,#7,43061.8,0,
0|0|0|0|100|4|#3,43146.07,0,#1,43230.34,0,#3,43314.61,0,#0,43483.14,0,#3,43651.68,0,#1,43735.95,0,#2,43820.23,0,#0,43988.77,0,#1,44157.3,0,#3,44325.84,0,#3,44410.11,0,
0|0|0|0|100|4|#2,44494.38,0,#3,44662.92,0,#0,44747.19,0,#1,44831.46,0,#0,45000,0,#2,45168.54,0,#3,45337.08,0,#1,45505.62,0,#3,45674.16,0,#2,45758.43,0,
0|0|0|0|100|4|#0,45842.7,0,#3,46011.23,0,#1,46179.77,0,#3,46348.32,0,#0,46516.86,0,#1,46685.39,0,#3,46853.93,0,#2,46938.2,0,#3,47022.47,0,
0|0|0|0|100|4|#1,47191.01,0,#3,47359.55,0,#0,47528.09,0,#3,47696.63,0,#1,47865.17,0,#3,48033.71,0,#2,48202.25,0,#2,48370.79,0,
1|0|0|0|100|4|#7,48539.32,0,#5,48623.59,0,#7,48707.86,0,#4,48876.41,0,#7,49044.95,0,#5,49129.21,0,#6,49213.48,0,#4,49382.02,0,#5,49550.56,0,#7,49719.1,0,#7,49803.37,0,
1|0|0|0|100|4|#6,49887.64,0,#7,50056.18,0,#4,50140.45,0,#5,50224.72,0,#4,50393.26,0,#6,50561.8,0,#7,50730.34,0,#5,50898.88,0,#7,51067.41,0,#6,51151.68,0,
1|0|0|0|100|4|#4,51235.95,0,#7,51404.5,0,#5,51573.04,0,#7,51741.57,0,#4,51910.11,0,#5,52078.65,0,#7,52247.19,0,#6,52331.46,0,#7,52415.73,0,
1|0|0|0|100|4|#5,52584.27,0,#7,52752.81,0,#4,52921.35,0,#7,53089.89,0,#5,53258.43,0,#7,53426.96,0,#6,53595.5,0,#6,53764.04,0,
0|0|0|0|100|4|#1,53932.59,0,#5,53932.59,842.6967,#2,54101.13,0,#0,54269.66,0,#0,54438.2,0,#2,54606.74,0,#3,54775.28,0,#1,54943.82,0,#3,55112.36,0,
0|0|0|0|100|4|#0,55280.9,0,#1,55449.44,0,#2,55617.98,0,#3,55786.52,0,#1,55955.05,0,#6,55955.05,505.618,#3,56123.59,0,#0,56292.14,0,#3,56460.68,0,
0|0|0|0|100|4|#1,56629.21,0,#5,56629.21,674.1573,#2,56797.75,0,#0,56966.29,0,#0,57134.83,0,#2,57303.37,0,#3,57471.91,0,#1,57640.45,0,#3,57808.99,0,
0|0|0|0|100|4|#0,57977.53,0,#2,58146.07,0,#3,58230.34,0,#1,58314.61,0,#3,58483.14,0,#1,58651.68,0,#4,58651.68,252.809,#3,58820.23,0,#6,58988.77,84.26966,#0,58988.77,0,#5,59157.3,0,#3,59157.3,0,
1|0|0|0|100|4|#0,59325.84,168.5393,#5,59325.84,0,#6,59494.38,0,#4,59662.92,0,#4,59831.46,0,#0,60000,168.5393,#6,60000,0,#7,60168.54,0,#5,60337.08,0,#7,60505.62,0,
1|0|0|0|100|4|#0,60674.16,168.5393,#4,60674.16,0,#5,60842.7,0,#6,61011.23,0,#7,61179.77,0,#0,61348.32,168.5393,#5,61348.32,0,#7,61516.86,0,#4,61685.39,0,#7,61853.93,0,
0|1|0|0|100|4|#1,62022.47,0,No Animation#5,62022.47,0,#6,62191.01,0,#4,62359.55,0,#4,62528.09,0,#6,62696.63,0,#7,62865.17,0,#5,63033.71,0,#7,63202.25,0,
0|0|0|0|100|4|#4,63370.79,0,#6,63539.32,0,#7,63623.59,0,#5,63707.86,0,#7,63876.41,0,#5,64044.95,0,#7,64213.48,0,#4,64382.02,0,#7,64550.56,0,
0|0|0|0|100|4|#1,64719.1,252.809,#5,64719.1,252.809,#0,65056.18,0,#4,65056.18,0,#1,65224.72,0,#5,65224.72,0,#3,65393.26,252.809,#7,65393.26,252.809,#5,65730.34,168.5393,#1,65730.34,0,
0|0|0|0|100|4|#7,66067.41,421.3483,#0,66067.41,0,#0,66404.49,0,#4,66573.03,84.26966,#0,66741.57,0,#5,66741.57,421.3483,#0,66910.11,0,#2,67078.65,0,#3,67162.92,0,#2,67247.19,0,#4,67247.19,0,
1|0|0|0|100|4|#1,67415.73,0,#6,67415.73,589.8876,#3,67584.27,0,#2,67752.81,0,#1,67921.35,0,#3,68089.89,0,#5,68089.89,252.809,#2,68258.43,0,#1,68426.97,0,#6,68426.97,252.809,#3,68511.23,0,#2,68595.51,0,
1|0|0|0|100|4|#0,68764.05,0,#7,68764.05,589.8876,#3,68932.59,0,#2,69101.13,0,#3,69269.66,0,#1,69438.2,0,#4,69438.2,589.8876,#3,69606.74,0,#0,69775.28,0,#3,69943.82,0,
1|0|0|0|100|4|#5,70112.36,252.809,#4,70449.44,0,#5,70617.98,0,#7,70786.52,252.809,#5,71123.59,0,
1|0|0|0|100|4|#4,71460.67,0,#4,71797.75,0,#4,72134.83,0,#4,72303.37,0,#6,72471.91,0,#7,72556.18,0,#6,72640.45,0,
1|0|0|0|100|4|#5,72808.99,0,#7,72977.53,0,#6,73146.07,0,#5,73314.61,0,#7,73483.15,0,#6,73651.69,0,#5,73820.23,0,#7,73904.49,0,#6,73988.77,0,
1|0|0|0|100|4|#4,74157.3,0,#7,74325.84,0,#6,74494.38,0,#7,74662.92,0,#5,74831.46,0,#7,75000,0,#4,75168.54,0,#7,75337.08,0,
0|0|0|0|100|4|#5,75505.62,1264.045,#0,75505.62,0,#0,75674.16,0,#1,75842.7,0,#0,76011.23,0,#2,76095.51,0,#0,76179.77,0,#1,76348.31,0,#3,76516.85,0,#0,76685.39,0,
0|0|0|0|100|4|#4,76853.93,1264.045,#1,76853.93,0,#3,76938.2,0,#1,77022.47,0,#0,77191.01,0,#1,77359.55,0,#2,77528.09,252.809,#0,77865.17,0,#0,78033.71,0,
0|0|0|0|100|4|#7,78202.25,1264.045,#1,78202.25,0,#0,78370.79,0,#3,78455.05,0,#3,78539.33,0,#3,78707.87,0,#0,78792.13,0,#1,78876.41,0,#1,79044.95,0,#3,79129.21,0,#2,79213.48,0,#0,79382.02,0,#1,79466.29,0,
0|0|0|0|100|4|#2,79550.56,0,#4,79550.56,1264.045,#3,79634.83,0,#2,79719.1,0,#0,79803.37,84.26966,#3,79971.91,0,#2,80056.18,0,#0,80224.72,0,#3,80393.26,0,#0,80561.8,0,#2,80730.34,0,
1|0|0|0|100|4|#4,80898.88,0,#4,81067.41,0,#5,81235.95,0,#4,81404.49,0,#6,81488.77,0,#4,81573.03,0,#5,81741.57,0,#7,81910.11,0,#4,82078.65,0,
1|0|0|0|100|4|#5,82247.19,0,#7,82331.46,0,#5,82415.73,0,#4,82584.27,0,#5,82752.81,0,#6,82921.35,252.809,#4,83258.43,0,#4,83426.97,0,
1|0|0|0|100|4|#5,83595.51,0,#4,83764.05,0,#7,83848.31,0,#7,83932.59,0,#7,84101.13,0,#4,84185.39,0,#5,84269.66,0,#5,84438.2,0,#7,84522.47,0,#6,84606.74,0,#4,84775.28,0,#5,84859.55,0,
1|0|0|0|100|4|#6,84943.82,0,#7,85028.09,0,#6,85112.36,0,#4,85196.63,84.26966,#7,85365.17,0,#6,85449.44,0,#4,85617.98,0,#7,85786.52,0,#4,85955.05,0,#6,86123.59,0,
0|0|0|0|100|4|#1,86292.13,0,#0,86376.41,0,#3,86460.67,0,#2,86629.21,0,#1,86713.48,0,#3,86797.75,0,#2,86966.29,0,#3,87134.83,0,#2,87303.37,0,#0,87471.91,0,
0|0|0|0|100|4|#1,87640.45,0,#0,87724.72,0,#3,87808.99,0,#2,87977.53,0,#1,88061.8,0,#3,88146.07,0,#2,88314.61,0,#3,88483.15,0,#1,88651.69,0,#3,88820.23,0,
0|0|0|0|100|4|#2,88988.77,0,#3,89073.03,0,#2,89157.3,0,#1,89325.84,0,#0,89410.11,0,#1,89494.38,0,#3,89662.92,0,#3,89831.46,0,#1,89915.73,0,#3,90000,0,#1,90168.54,0,
0|0|0|0|100|4|#0,90337.08,0,#3,90421.35,0,#1,90505.62,0,#0,90589.89,0,#1,90674.16,0,#3,90842.7,0,#0,91011.23,0,#3,91095.51,0,#1,91179.77,0,#0,91264.05,0,#1,91348.31,168.5393,
1|0|0|0|100|4|#5,91685.39,0,#4,91769.66,0,#7,91853.93,0,#6,92022.47,0,#5,92106.74,0,#7,92191.01,0,#6,92359.55,0,#7,92528.09,0,#6,92696.63,0,#4,92865.17,0,
1|0|0|0|100|4|#5,93033.71,0,#4,93117.98,0,#7,93202.25,0,#6,93370.79,0,#5,93455.05,0,#7,93539.33,0,#6,93707.87,0,#7,93876.41,0,#5,94044.95,0,#7,94213.48,0,
1|0|0|0|100|4|#6,94382.02,0,#7,94466.29,0,#6,94550.56,0,#5,94719.1,0,#4,94803.37,0,#5,94887.64,0,#7,95056.18,0,#7,95224.72,0,#5,95308.99,0,#7,95393.26,0,#5,95561.8,0,
1|0|0|0|100|4|#4,95730.34,0,#7,95814.61,0,#5,95898.88,0,#4,95983.15,0,#5,96067.41,0,#7,96235.95,0,#4,96404.49,0,#7,96488.77,0,#5,96573.03,0,#4,96657.3,0,#5,96741.57,337.0786,
0|0|0|0|100|4|#0,97078.65,0,#3,97162.92,0,#2,97247.19,0,#3,97415.73,0,#0,97584.27,0,#3,97668.54,0,#2,97752.81,0,#3,97921.35,0,#0,98089.89,0,#3,98174.16,0,#2,98258.43,0,
0|0|0|0|100|4|#4,98426.97,589.8876,#3,98426.97,0,#0,98595.51,0,#3,98679.77,0,#2,98764.05,0,#3,98932.59,0,#6,99101.13,589.8876,#2,99101.13,0,#1,99269.66,0,#0,99438.2,0,#3,99606.74,0,
0|0|0|0|100|4|#0,99775.28,0,#3,99859.55,0,#2,99943.82,0,#3,100112.4,0,#0,100280.9,0,#3,100365.2,0,#2,100449.4,0,#3,100618,0,#0,100786.5,0,#3,100870.8,0,#2,100955.1,0,
0|0|0|0|100|4|#4,101123.6,589.8876,#3,101123.6,0,#0,101292.1,0,#3,101376.4,0,#2,101460.7,0,#3,101629.2,0,#6,101797.8,589.8876,#2,101797.8,0,#1,101966.3,0,#0,102134.8,0,#3,102303.4,0,
1|0|0|0|100|4|#0,102471.9,0,#7,102471.9,0,#3,102556.2,0,#4,102556.2,0,#6,102640.5,0,#2,102640.5,0,#4,102809,0,#3,102809,0,#0,102977.5,0,#7,102977.5,0,#3,103061.8,0,#4,103061.8,0,#6,103146.1,0,#2,103146.1,0,#4,103314.6,0,#3,103314.6,0,#0,103483.1,0,#7,103483.1,0,#3,103567.4,0,#4,103567.4,0,#6,103651.7,0,#2,103651.7,0,
1|0|0|0|100|4|#4,103820.2,0,#3,103820.2,0,#0,103988.8,0,#7,103988.8,0,#3,104073,0,#4,104073,0,#6,104157.3,0,#2,104157.3,0,#4,104325.8,0,#3,104325.8,0,#6,104494.4,0,#2,104494.4,0,#5,104662.9,0,#1,104662.9,0,#7,104831.5,0,#0,104831.5,0,#4,105000,0,#3,105000,0,
1|0|0|0|100|4|#0,105168.5,0,#7,105168.5,0,#3,105252.8,0,#4,105252.8,0,#6,105337.1,0,#2,105337.1,0,#4,105505.6,0,#3,105505.6,0,#0,105674.2,0,#7,105674.2,0,#3,105758.4,0,#4,105758.4,0,#6,105842.7,0,#2,105842.7,0,#4,106011.2,0,#3,106011.2,0,#0,106179.8,0,#7,106179.8,0,#3,106264,0,#4,106264,0,#6,106348.3,0,#2,106348.3,0,
1|0|0|0|100|4|#4,106516.9,0,#3,106516.9,0,#0,106685.4,0,#7,106685.4,0,#3,106769.7,0,#4,106769.7,0,#6,106853.9,0,#2,106853.9,0,#4,107022.5,0,#3,107022.5,0,#6,107191,0,#2,107191,0,#5,107359.5,0,#1,107359.5,0,#7,107528.1,0,#0,107528.1,0,#4,107696.6,0,#3,107696.6,0,
0|0|0|0|100|4|#7,107865.2,589.8876,#3,107865.2,0,#2,107949.4,0,#3,108033.7,0,#2,108118,0,#0,108202.3,0,#1,108370.8,0,#5,108539.3,589.8876,#3,108539.3,0,#2,108623.6,0,#3,108707.9,0,#2,108792.1,0,#0,108876.4,0,#1,109044.9,0,
0|0|0|0|100|4|#6,109213.5,589.8876,#3,109213.5,0,#0,109297.8,0,#2,109382,0,#3,109466.3,0,#0,109550.6,0,#1,109719.1,0,#5,109887.6,589.8876,#3,109887.6,0,#2,109971.9,0,#3,110056.2,0,#2,110140.5,0,#0,110224.7,0,#1,110393.3,0,
0|0|0|0|100|4|#7,110561.8,0,#6,110646.1,0,#7,110730.3,0,#6,110814.6,0,#4,110898.9,0,#5,111067.4,0,#7,111236,0,#6,111320.2,0,#7,111404.5,0,#6,111488.8,0,#4,111573,0,#5,111741.6,0,
0|0|0|0|100|4|#7,111910.1,0,#4,111994.4,0,#6,112078.6,0,#7,112162.9,0,#4,112247.2,0,#5,112415.7,0,#7,112584.3,0,#6,112668.5,0,#7,112752.8,0,#6,112837.1,0,#4,112921.4,0,#5,113089.9,0,
1|0|0|0|100|4|#7,113258.4,589.8876,#2,113258.4,0,#3,113427,0,#1,113595.5,0,#3,113764,0,#5,113932.6,589.8876,#0,113932.6,0,#1,114101.1,0,#0,114269.7,0,#3,114353.9,0,#1,114438.2,0,#0,114522.5,0,
1|0|0|0|100|4|#2,114606.7,0,#4,114606.7,589.8876,#3,114775.3,0,#1,114943.8,0,#3,115112.4,0,#5,115280.9,589.8876,#0,115280.9,0,#3,115365.2,0,#1,115449.4,0,#0,115533.7,0,#3,115618,0,#1,115786.5,0,
1|0|0|0|100|4|#6,115955.1,0,#2,115955.1,589.8876,#7,116123.6,0,#5,116292.1,0,#7,116460.7,0,#4,116629.2,0,#5,116797.8,0,#4,116966.3,0,#7,117050.6,0,#5,117134.8,0,#4,117219.1,0,
1|0|0|0|100|4|#6,117303.4,0,#7,117471.9,0,#5,117640.5,0,#7,117809,0,#4,117977.5,0,#7,118061.8,0,#5,118146.1,0,#4,118230.3,0,#7,118314.6,0,#5,118483.1,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|178|4|
