Senpai|144|bf-pixel|gf-pixel|senpai|1.3|school
0|0|0|0|100|4|#1,68333.33,0,#3,68541.66,0,#0,68750,0,#3,68958.33,0,#2,69166.66,0,#3,69375,0,#0,69583.33,0,
1|0|0|0|100|4|#5,70000,0,#7,70208.33,0,#4,70416.66,0,#7,70625,0,#5,70833.33,0,#7,71041.66,0,#4,71250,0,#7,71458.33,0,
1|0|0|0|100|4|#5,71666.66,0,#7,71875,0,#4,72083.33,0,#7,72291.66,0,#6,72500,0,#7,72708.33,0,#4,72916.66,0,
0|0|0|0|100|4|#0,73333.33,0,#3,73541.66,0,#1,73750,0,#3,73958.33,0,#2,74062.5,0,#0,74166.66,0,#3,74375,0,#1,74583.33,0,#3,74791.66,0,#2,74895.83,0,
0|0|0|0|100|4|#0,75000,0,#3,75208.33,0,#1,75416.66,0,#3,75625,0,#2,75833.33,0,#3,76041.66,0,#0,76250,0,
1|0|0|0|100|4|#4,76666.66,0,#7,76875,0,#5,77083.33,0,#7,77291.66,0,#6,77395.83,0,#4,77500,0,#7,77708.33,0,#5,77916.66,0,#7,78125,0,#6,78229.16,0,
1|0|0|0|100|4|#4,78333.33,0,#7,78541.66,0,#5,78750,0,#7,78958.33,0,#6,79166.66,0,#7,79375,0,#4,79583.33,0,
0|0|0|0|100|4|#2,80000,312.5,#0,80416.66,0,#1,80520.83,0,#0,80625,0,#1,80729.16,0,#3,80833.33,312.5,#1,81250,0,#0,81458.33,625,
0|0|0|0|100|4|#1,82291.66,312.5,#3,82708.33,312.5,#0,83125,0,
0|0|0|0|100|4|#3,83333.33,312.5,#0,83750,0,#2,83958.33,312.5,#0,84375,0,#2,84583.33,0,#0,84791.66,0,
0|0|0|0|100|4|#3,85000,0,#1,85208.33,0,#0,85312.5,0,#3,85416.66,0,#1,85625,0,#3,85833.33,0,#2,86041.66,0,#3,86250,0,#0,86458.33,0,
1|0|0|0|100|4|#6,86666.66,312.5,#4,87083.33,0,#5,87187.5,0,#4,87291.66,0,#5,87395.83,0,#7,87500,312.5,#5,87916.66,0,#4,88125,625,
1|0|0|0|100|4|#5,88958.33,312.5,#7,89375,312.5,#4,89791.66,0,
1|0|0|0|100|4|#7,90000,312.5,#4,90416.66,0,#6,90625,312.5,#4,91041.66,0,#6,91250,0,#4,91458.33,0,
1|0|0|0|100|4|#7,91666.66,0,#5,91875,0,#4,91979.16,0,#7,92083.33,0,#5,92291.66,0,#7,92500,0,#6,92708.33,0,#7,92916.66,0,#4,93125,0,
1|0|0|0|100|4|#1,93333.33,833.3333,#7,93333.33,833.3333,
0|0|0|0|100|4|
0|0|0|0|100|4|
