High|125|bf-car|gf-car|mom|2|limo
1|0|0|0|100|4|#5,29040,0,#4,29160,0,#7,29280,0,#5,29640,0,#4,29760,0,#5,29880,0,#7,30120,0,#6,30480,0,#4,30600,0,
1|0|0|0|100|4|#4,30960,0,#6,31080,0,#7,31200,0,#7,31560,0,#6,31680,0,#6,32040,0,#6,32400,0,#6,32520,0,
1|0|0|0|100|4|#6,32640,0,#7,32760,0,#4,32880,0,#6,33120,0,#4,33360,0,#6,33600,0,#7,33720,0,#4,33840,0,#5,33960,0,#7,34080,0,#4,34200,0,#5,34320,0,#7,34440,0,
0|0|0|0|100|4|#0,34560,0,#3,34680,0,#2,34800,0,#3,34920,0,#1,35040,360,#0,35520,360,#3,36000,360,
0|0|0|0|100|4|#3,36480,0,#1,36840,0,#3,36960,0,#2,37080,0,#0,37200,0,#1,37320,0,#3,37440,240,#1,37800,0,#0,37920,240,#1,38280,0,
0|0|0|0|100|4|#2,38400,360,#3,38880,360,#0,39360,360,#2,39840,360,
0|0|0|0|100|4|#3,40320,0,#0,40440,0,#2,40560,0,#3,40680,0,#0,40800,0,#2,40920,0,#3,41040,0,#0,41160,0,#2,41280,240,#3,41640,0,#0,41760,240,#2,42120,0,
1|0|0|0|100|4|#3,42240,360,#4,42240,0,#7,42360,0,#6,42480,0,#7,42600,0,#1,42720,360,#5,42720,360,#3,43200,360,#4,43200,360,#0,43680,360,#7,43680,360,
1|0|0|0|100|4|#2,44160,360,#7,44160,0,#5,44520,0,#7,44640,0,#6,44760,0,#4,44880,0,#5,45000,0,#0,45120,240,#7,45120,240,#1,45480,0,#5,45480,0,#3,45600,240,#4,45600,240,#1,45960,0,#5,45960,0,
1|0|0|0|100|4|#2,46080,360,#6,46080,360,#3,46560,1440,#7,46560,360,#4,47040,360,#6,47520,360,
1|0|0|0|100|4|#7,48000,0,#4,48120,0,#6,48240,0,#7,48360,0,#4,48480,0,#6,48600,0,#7,48720,0,#4,48840,0,#6,48960,240,#7,49320,0,#4,49440,240,#6,49800,0,
0|0|0|0|100|4|#5,49920,720,#1,49920,600,#3,50640,0,#2,50880,0,#3,51000,0,#2,51240,0,#0,51360,240,#0,51720,0,
0|0|0|0|100|4|#2,51840,360,#1,52320,0,#3,52560,0,#2,52800,0,#3,52920,0,#2,53160,0,#0,53280,240,#0,53640,0,
0|0|0|0|100|4|#1,53760,360,#0,54240,0,#3,54480,0,#2,54720,0,#3,54840,0,#2,55080,0,#0,55200,240,#0,55560,0,
0|0|0|0|100|4|#0,55680,0,#0,55920,0,#3,56040,0,#0,56160,0,#3,56280,0,#2,56400,0,#0,56520,0,#3,56640,0,#1,56760,0,#0,56880,120,#1,57120,0,#3,57360,0,
1|0|0|0|100|4|#1,57600,480,#5,57600,600,#7,58320,0,#6,58560,0,#7,58680,0,#6,58920,0,#4,59040,240,#4,59400,0,
1|0|0|0|100|4|#6,59520,360,#5,60000,0,#7,60240,0,#6,60480,0,#7,60600,0,#6,60840,0,#4,60960,240,#4,61320,0,
1|0|0|0|100|4|#5,61440,360,#4,61920,0,#7,62160,0,#6,62400,0,#7,62520,0,#6,62760,0,#4,62880,240,#4,63240,0,
1|0|0|0|100|4|#4,63360,0,#4,63600,0,#7,63720,0,#4,63840,0,#7,63960,0,#6,64080,0,#4,64200,0,#7,64320,0,#5,64440,0,#4,64560,120,#5,64800,0,#7,65040,0,
0|0|0|0|100|4|#0,65280,0,#5,65280,480,#3,65400,0,#2,65520,0,#3,65640,0,#1,65760,360,#0,66240,360,#3,66720,360,
0|0|0|0|100|4|#3,67200,0,#1,67560,0,#3,67680,0,#2,67800,0,#0,67920,0,#1,68040,0,#3,68160,240,#1,68520,0,#0,68640,240,#1,69000,0,
0|0|0|0|100|4|#2,69120,360,#3,69600,360,#0,70080,360,#2,70560,360,
0|0|0|0|100|4|#3,71040,0,#0,71160,0,#2,71280,0,#3,71400,0,#0,71520,0,#2,71640,0,#3,71760,0,#0,71880,0,#2,72000,240,#3,72360,0,#0,72480,240,#2,72840,0,
1|0|0|0|100|4|#3,72960,360,#4,72960,0,#7,73080,0,#6,73200,0,#7,73320,0,#1,73440,360,#5,73440,360,#3,73920,360,#4,73920,360,#0,74400,360,#7,74400,360,
1|0|0|0|100|4|#2,74880,360,#7,74880,0,#5,75240,0,#7,75360,0,#6,75480,0,#4,75600,0,#5,75720,0,#0,75840,240,#7,75840,240,#1,76200,0,#5,76200,0,#3,76320,240,#4,76320,240,#1,76680,0,#5,76680,0,
1|0|0|0|100|4|#2,76800,360,#6,76800,360,#3,77280,1440,#7,77280,360,#4,77760,360,#6,78240,360,
1|0|0|0|100|4|#7,78720,0,#4,78840,0,#6,78960,0,#7,79080,0,#4,79200,0,#6,79320,0,#7,79440,0,#4,79560,0,#6,79680,240,#7,80040,0,#4,80160,240,#6,80520,0,
1|0|0|0|100|4|#7,80640,960,#3,80640,960,#6,82080,360,#2,82080,360,
1|0|0|0|100|4|#5,82560,360,#1,82560,600,#5,83040,0,#6,83280,360,#2,83280,600,#6,83760,0,#7,84000,360,#3,84000,360,
1|0|0|0|100|4|#2,84480,0,#6,84480,360,#3,84720,0,#0,84840,0,#3,84960,0,#5,84960,360,#1,85080,0,#3,85200,0,#0,85320,0,#2,85440,0,#7,85440,360,#0,85560,0,#3,85680,0,#0,85800,0,#3,85920,0,#4,85920,360,#1,86040,0,#3,86160,0,#0,86280,0,
1|0|0|0|100|4|#2,86400,0,#6,86400,360,#3,86640,0,#0,86760,0,#3,86880,0,#5,86880,360,#1,87000,0,#3,87120,0,#0,87240,0,#2,87360,0,#7,87360,360,#0,87480,0,#3,87600,0,#0,87720,0,#4,87840,0,#3,87840,0,#6,87960,0,#1,87960,0,#7,88080,0,#3,88080,0,#6,88200,0,#0,88200,0,
1|0|0|0|100|4|#3,88320,960,#7,88320,960,#6,89760,360,#2,89760,360,
0|0|0|0|100|4|#5,90240,600,#1,90240,360,#1,90720,0,#6,90960,600,#2,90960,360,#2,91440,0,#7,91680,0,#3,91680,360,#5,91800,0,#4,91920,120,
1|0|0|0|100|4|#2,92160,360,#6,92160,0,#7,92400,0,#4,92520,0,#1,92640,360,#7,92640,0,#5,92760,0,#7,92880,0,#4,93000,0,#3,93120,360,#6,93120,0,#4,93240,0,#7,93360,0,#4,93480,0,#0,93600,360,#7,93600,0,#5,93720,0,#7,93840,0,#4,93960,0,
1|0|0|0|100|4|#2,94080,360,#6,94080,0,#7,94320,0,#4,94440,0,#1,94560,360,#7,94560,0,#5,94680,0,#7,94800,0,#4,94920,0,#3,95040,360,#6,95040,0,#4,95160,0,#7,95280,0,#4,95400,0,#0,95520,0,#7,95520,0,#2,95640,0,#5,95640,0,#3,95760,0,#7,95760,0,#2,95880,0,#4,95880,0,
1|0|0|0|100|4|#2,96000,960,#6,96000,960,
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
1|0|0|0|100|4|
