Thorns|190|bf-pixel|gf-pixel|spirit|1.5|schoolEvil
1|0|0|0|100|4|#6,26526.31,0,#5,26684.21,0,#4,26842.1,0,#6,27000,0,#5,27157.89,0,#4,27315.79,0,#7,27473.68,0,#5,27631.58,0,
1|0|0|0|100|4|#5,27789.47,0,#4,27947.37,0,#7,28105.26,0,#5,28263.16,0,#4,28421.05,0,#7,28578.95,0,#5,28736.84,0,#4,28894.74,0,
1|0|0|0|100|4|#6,29052.63,0,#5,29210.53,0,#4,29368.42,0,#6,29526.31,0,#5,29684.21,0,#4,29842.1,0,#7,30000,0,#5,30157.89,0,
0|0|0|0|100|4|#2,30315.79,0,#0,30473.68,0,#3,30631.58,0,#1,30789.47,0,#3,30947.37,236.8421,#0,31263.16,0,#3,31421.05,0,
0|0|0|0|100|4|#0,31578.95,0,#2,31736.84,0,#0,31894.74,0,#1,32052.63,0,#3,32210.53,236.8421,#1,32526.31,0,#3,32684.21,0,
0|0|0|0|100|4|#0,32842.11,0,#2,33000,0,#0,33157.89,0,#3,33315.79,0,#0,33473.68,0,#2,33631.58,0,#3,33789.47,0,#1,33947.37,0,
0|0|0|0|100|4|#1,34105.26,0,#0,34263.16,0,#1,34421.05,0,#3,34578.95,0,#1,34736.84,0,#0,34894.73,0,#1,35052.63,236.8421,
1|0|0|0|100|4|#6,35368.42,0,#4,35526.31,0,#7,35684.21,0,#5,35842.11,0,#7,36000,236.8421,#4,36315.79,0,#7,36473.68,0,
1|0|0|0|100|4|#4,36631.58,0,#6,36789.47,0,#4,36947.37,0,#5,37105.26,0,#7,37263.16,236.8421,#5,37578.95,0,#7,37736.84,0,
1|0|0|0|100|4|#4,37894.73,0,#6,38052.63,0,#4,38210.52,0,#7,38368.42,0,#4,38526.31,0,#6,38684.21,0,#7,38842.1,0,#5,39000,0,
1|0|0|0|100|4|#5,39157.89,0,#4,39315.79,0,#5,39473.68,0,#7,39631.58,0,#5,39789.47,0,#4,39947.37,0,#5,40105.26,236.8421,
0|0|0|0|100|4|#0,40421.05,0,#1,40578.95,0,#0,40736.84,0,#2,40894.73,0,#3,41052.63,0,#1,41210.52,0,#0,41368.42,0,#3,41526.31,0,
0|0|0|0|100|4|#2,41684.21,0,#0,41842.1,0,#1,42000,0,#0,42157.89,0,#2,42315.79,0,#3,42473.68,0,#0,42631.58,0,#3,42789.47,0,
0|0|0|0|100|4|#0,42947.37,0,#1,43105.26,0,#0,43263.16,0,#2,43421.05,0,#3,43578.95,0,#1,43736.84,0,#0,43894.73,0,#3,44052.63,0,
0|0|0|0|100|4|#2,44210.52,0,#0,44368.42,0,#1,44526.31,0,#0,44684.21,0,#2,44842.1,0,#0,45000,0,#3,45157.89,0,#0,45315.79,0,
1|0|0|0|100|4|#4,45473.68,0,#5,45631.58,0,#4,45789.47,0,#6,45947.37,0,#7,46105.26,0,#5,46263.16,0,#4,46421.05,0,#7,46578.95,0,
1|0|0|0|100|4|#6,46736.84,0,#4,46894.73,0,#5,47052.63,0,#4,47210.52,0,#6,47368.42,0,#7,47526.31,0,#4,47684.21,0,#7,47842.1,0,
1|0|0|0|100|4|#4,48000,0,#5,48157.89,0,#4,48315.79,0,#6,48473.68,0,#7,48631.58,0,#5,48789.47,0,#4,48947.37,0,#7,49105.26,0,
1|0|0|0|100|4|#6,49263.16,0,#4,49421.05,0,#5,49578.95,0,#4,49736.84,0,#6,49894.73,0,#4,50052.63,0,#7,50210.52,0,#4,50368.42,0,
0|0|0|0|100|4|#3,50526.31,157.8947,#3,50842.1,0,#3,51000,0,#1,51157.89,157.8947,#0,51473.68,0,
0|0|0|0|100|4|#3,51789.47,0,#1,52105.26,0,#3,52263.16,0,#1,52578.95,0,#3,52736.84,0,
0|0|0|0|100|4|#3,53052.63,0,#3,53210.52,0,#3,53368.42,0,#3,53526.31,0,#1,53684.21,0,#1,53842.1,0,#0,54000,0,#0,54157.89,0,
0|0|0|0|100|4|#3,54315.79,0,#1,54631.58,0,#3,54789.47,0,#1,55105.26,0,#3,55263.16,0,
1|0|0|0|100|4|#7,55578.95,157.8947,#7,55894.73,0,#7,56052.63,0,#5,56210.52,157.8947,#4,56526.31,0,
1|0|0|0|100|4|#7,56842.1,0,#5,57157.89,0,#7,57315.79,0,#5,57631.58,0,#7,57789.47,0,
1|0|0|0|100|4|#7,58105.26,0,#7,58263.16,0,#7,58421.05,0,#7,58578.95,0,#5,58736.84,0,#5,58894.73,0,#4,59052.63,0,#4,59210.52,0,
1|0|0|0|100|4|#7,59368.42,0,#5,59684.21,0,#7,59842.1,0,#5,60157.89,0,#7,60315.79,0,
0|0|0|0|100|4|#2,60631.58,0,#0,60789.47,0,#3,60947.37,0,#1,61105.26,0,#3,61263.16,0,#3,61421.05,0,#0,61578.95,0,#3,61736.84,0,
0|0|0|0|100|4|#0,61894.73,0,#2,62052.63,0,#0,62210.52,0,#1,62368.42,0,#3,62526.31,0,#3,62684.21,0,#1,62842.1,0,#3,63000,0,
0|0|0|0|100|4|#0,63157.89,0,#2,63315.79,0,#0,63473.68,0,#3,63631.57,0,#0,63789.47,0,#2,63947.37,0,#3,64105.26,0,#1,64263.16,0,
0|0|0|0|100|4|#1,64421.05,0,#0,64578.95,0,#1,64736.84,0,#3,64894.73,0,#1,65052.63,0,#0,65210.52,0,#1,65368.42,236.8421,
1|0|0|0|100|4|#6,65684.21,0,#4,65842.1,0,#7,66000,0,#5,66157.89,0,#7,66315.79,0,#7,66473.68,0,#4,66631.58,0,#7,66789.47,0,
1|0|0|0|100|4|#4,66947.37,0,#6,67105.26,0,#4,67263.16,0,#5,67421.05,0,#7,67578.95,0,#7,67736.84,0,#5,67894.73,0,#7,68052.63,0,
1|0|0|0|100|4|#4,68210.52,0,#6,68368.41,0,#4,68526.31,0,#7,68684.21,0,#4,68842.1,0,#6,69000,0,#7,69157.89,0,#5,69315.79,0,
1|0|0|0|100|4|#5,69473.68,0,#4,69631.58,0,#5,69789.47,0,#7,69947.37,0,#5,70105.26,0,#4,70263.16,0,#5,70421.05,236.8421,
0|0|0|0|100|4|#0,70736.84,0,#1,70894.73,0,#0,71052.63,0,#2,71210.52,0,#3,71368.41,0,#1,71526.31,0,#0,71684.21,0,#3,71842.1,0,
0|0|0|0|100|4|#2,72000,0,#0,72157.89,0,#1,72315.79,0,#0,72473.68,0,#2,72631.58,0,#3,72789.47,0,#0,72947.37,0,#3,73105.26,0,
0|0|0|0|100|4|#0,73263.16,0,#1,73421.05,0,#0,73578.95,0,#2,73736.84,0,#3,73894.73,0,#1,74052.63,0,#0,74210.52,0,#3,74368.41,0,
0|0|0|0|100|4|#2,74526.31,0,#0,74684.21,0,#1,74842.1,0,#0,75000,0,#2,75157.89,0,#0,75315.79,0,#3,75473.68,0,#0,75631.58,0,
1|0|0|0|100|4|#4,75789.47,0,#5,75947.37,0,#4,76105.26,0,#6,76263.16,0,#7,76421.05,0,#5,76578.95,0,#4,76736.84,0,#7,76894.73,0,
1|0|0|0|100|4|#6,77052.63,0,#4,77210.52,0,#5,77368.41,0,#4,77526.31,0,#6,77684.2,0,#7,77842.1,0,#4,78000,0,#7,78157.89,0,
1|0|0|0|100|4|#4,78315.79,0,#5,78473.68,0,#4,78631.58,0,#6,78789.47,0,#7,78947.37,0,#5,79105.26,0,#4,79263.16,0,#7,79421.05,0,
1|0|0|0|100|4|#6,79578.95,0,#4,79736.84,0,#5,79894.73,0,#4,80052.63,0,#6,80210.52,0,#4,80368.41,0,#7,80526.31,0,#4,80684.2,0,
0|0|0|0|100|4|#2,80842.1,0,#3,81000,0,#1,81157.89,0,#3,81315.79,0,#0,81473.68,0,#3,81631.58,0,#1,81789.47,0,#1,81947.37,0,
0|0|0|0|100|4|#2,82105.26,0,#3,82263.16,0,#1,82421.05,0,#3,82578.95,0,#0,82736.84,0,#3,82894.73,0,#1,83052.63,0,#1,83210.52,0,
0|0|0|0|100|4|#2,83368.41,0,#3,83526.31,0,#1,83684.2,0,#3,83842.1,0,#0,84000,0,#3,84157.89,0,#1,84315.79,0,#1,84473.68,0,
0|0|0|0|100|4|#2,84631.58,0,#3,84789.47,0,#1,84947.37,0,#3,85105.26,0,#0,85263.16,0,#3,85421.05,0,#1,85578.95,0,#1,85736.84,0,
1|0|0|0|100|4|#6,85894.73,0,#7,86052.63,0,#5,86210.52,0,#7,86368.41,0,#4,86526.31,0,#7,86684.2,0,#5,86842.1,0,#5,86999.99,0,
1|0|0|0|100|4|#6,87157.89,0,#7,87315.79,0,#5,87473.68,0,#7,87631.58,0,#4,87789.47,0,#7,87947.37,0,#5,88105.26,0,#5,88263.16,0,
1|0|0|0|100|4|#6,88421.05,0,#7,88578.95,0,#5,88736.84,0,#7,88894.73,0,#4,89052.63,0,#7,89210.52,0,#5,89368.41,0,#5,89526.31,0,
1|0|0|0|100|4|#6,89684.2,0,#7,89842.1,0,#5,89999.99,0,#7,90157.89,0,#4,90315.79,0,#7,90473.68,0,#5,90631.58,0,#5,90789.47,0,
0|0|0|0|100|4|#3,90947.37,157.8947,#3,91263.16,0,#3,91421.05,0,#1,91578.95,157.8947,#0,91894.73,0,
0|0|0|0|100|4|#3,92210.52,0,#1,92526.31,0,#3,92684.2,0,#1,92999.99,0,#3,93157.89,0,
0|0|0|0|100|4|#3,93473.68,0,#3,93631.58,0,#3,93789.47,0,#3,93947.37,0,#1,94105.26,0,#1,94263.16,0,#0,94421.05,0,#0,94578.95,0,
0|0|0|0|100|4|#3,94736.84,0,#1,95052.63,0,#3,95210.52,0,#1,95526.31,0,#3,95684.2,0,
1|0|0|0|100|4|#7,95999.99,157.8947,#7,96315.78,0,#7,96473.68,0,#5,96631.58,157.8947,#4,96947.37,0,
1|0|0|0|100|4|#7,97263.16,0,#5,97578.95,0,#7,97736.84,0,#5,98052.63,0,#7,98210.52,0,
1|0|0|0|100|4|#7,98526.31,0,#7,98684.2,0,#7,98842.1,0,#7,98999.99,0,#5,99157.89,0,#5,99315.78,0,#4,99473.68,0,#4,99631.58,0,
1|0|0|0|100|4|#7,99789.47,0,#5,100105.3,0,#7,100263.2,0,#5,100578.9,0,#7,100736.8,0,
1|0|0|0|100|4|
1|0|0|0|100|4|
