Roses|120|bf-pixel|gf-pixel|senpai-angry|1.5|school
0|0|0|0|100|4|#2,48000,0,#3,48125,0,#2,48250,0,#0,48375,0,#2,48500,0,#0,48625,0,#3,48750,0,#0,48875,0,#2,49000,0,#3,49125,0,#1,49250,0,#3,49375,0,#0,49500,375,
0|0|0|0|100|4|#2,50000,0,#3,50125,0,#2,50250,0,#0,50375,0,#3,50500,0,#0,50625,0,#2,50750,0,#0,50875,0,#2,51000,0,#0,51125,0,#3,51250,0,#0,51375,0,#1,51500,375,
1|0|0|0|100|4|#6,52000,0,#7,52125,0,#6,52250,0,#4,52375,0,#6,52500,0,#4,52625,0,#7,52750,0,#4,52875,0,#6,53000,0,#7,53125,0,#5,53250,0,#7,53375,0,#4,53500,375,
1|0|0|0|100|4|#6,54000,0,#7,54125,0,#6,54250,0,#4,54375,0,#7,54500,0,#4,54625,0,#6,54750,0,#4,54875,0,#6,55000,0,#4,55125,0,#7,55250,0,#4,55375,0,#5,55500,375,
0|0|0|0|100|4|#0,56000,0,#3,56125,0,#1,56250,0,#0,56375,0,#3,56500,0,#0,56625,0,#1,56750,0,#3,56875,0,#0,57000,0,#3,57125,0,#1,57250,0,#0,57375,0,#3,57500,0,#0,57625,0,#1,57750,0,#3,57875,0,
0|0|0|0|100|4|#0,58000,0,#3,58125,0,#1,58250,0,#0,58375,0,#3,58500,0,#0,58625,0,#1,58750,0,#3,58875,0,#0,59000,0,#3,59125,0,#1,59250,0,#0,59375,0,#3,59500,0,#0,59625,0,#1,59750,0,#3,59875,0,
1|0|0|0|100|4|#4,60000,0,#7,60125,0,#5,60250,0,#4,60375,0,#7,60500,0,#4,60625,0,#5,60750,0,#7,60875,0,#4,61000,0,#7,61125,0,#5,61250,0,#4,61375,0,#7,61500,0,#4,61625,0,#5,61750,0,#7,61875,0,
1|0|0|0|100|4|#4,62000,0,#7,62125,0,#5,62250,0,#4,62375,0,#7,62500,0,#4,62625,0,#5,62750,0,#7,62875,0,#4,63000,0,#7,63125,0,#5,63250,0,#4,63375,0,#7,63500,0,#4,63625,0,#5,63750,0,#7,63875,0,
0|0|0|0|100|4|#3,64500,0,#1,64750,0,#0,65000,250,#1,65375,0,#2,65875,0,
0|0|0|0|100|4|#2,66125,0,#2,66375,0,#0,66500,0,#1,66625,0,#0,66750,0,#3,67000,250,#3,67375,0,#0,67625,0,#1,67875,0,
1|0|0|0|100|4|#7,68500,0,#5,68750,0,#4,69000,250,#5,69375,0,#6,69875,0,
1|0|0|0|100|4|#6,70125,0,#6,70375,0,#4,70500,0,#5,70625,0,#4,70750,0,#7,71000,250,#7,71375,0,#4,71625,0,#5,71875,0,
0|0|0|0|100|4|#2,72000,125,#3,72250,0,#2,72500,0,#1,72625,0,#0,72750,0,#3,72875,250,#1,73250,0,#0,73500,0,#1,73750,0,#3,73875,250,
0|0|0|0|100|4|#1,74250,0,#3,74500,0,#2,74750,0,#3,74875,250,#1,75250,0,#0,75500,0,#3,75750,0,
1|0|0|0|100|4|#6,76000,125,#7,76250,0,#6,76500,0,#5,76625,0,#4,76750,0,#7,76875,250,#5,77250,0,#4,77500,0,#5,77750,0,#7,77875,250,
1|0|0|0|100|4|#5,78250,0,#7,78500,0,#6,78750,0,#7,78875,250,#5,79250,0,#4,79500,0,#7,79750,0,
0|0|0|0|100|4|#0,80000,0,#3,80125,0,#1,80250,0,#0,80375,0,#3,80500,0,#0,80625,0,#1,80750,0,#3,80875,0,#0,81000,0,#3,81125,0,#1,81250,0,#0,81375,0,#3,81500,0,#0,81625,0,#1,81750,0,#3,81875,0,
0|0|0|0|100|4|#0,82000,0,#3,82125,0,#1,82250,0,#0,82375,0,#3,82500,0,#0,82625,0,#1,82750,0,#3,82875,0,#0,83000,0,#3,83125,0,#1,83250,0,#0,83375,0,#3,83500,0,#0,83625,0,#1,83750,0,#3,83875,0,
1|0|0|0|100|4|#4,84000,0,#7,84125,0,#5,84250,0,#4,84375,0,#7,84500,0,#4,84625,0,#5,84750,0,#7,84875,0,#4,85000,0,#7,85125,0,#5,85250,0,#4,85375,0,#7,85500,0,#4,85625,0,#5,85750,0,#7,85875,0,
1|0|0|0|100|4|#4,86000,0,#7,86125,0,#5,86250,0,#4,86375,0,#7,86500,0,#4,86625,0,#5,86750,0,#7,86875,0,#4,87000,0,#7,87125,0,#5,87250,0,#4,87375,0,#7,87500,0,#4,87625,0,#5,87750,0,#7,87875,0,
1|0|0|0|100|4|
