dadbattle|180|bf|gf|dad|2.3|stage
0|0|0|0|100|4|#0,32166.67,0,#3,32333.33,0,#2,32500,0,#1,32666.67,0,#0,33000,0,
0|0|0|0|100|4|#2,33500,0,#3,33666.67,0,#1,33833.34,0,#2,34000,0,#0,34333.34,0,
0|0|0|0|100|4|#0,34666.67,0,#1,35000,0,#3,35333.34,0,#1,35666.67,0,
0|0|0|0|100|4|#2,36000,0,#3,36333.34,0,#0,36666.67,0,#1,36666.67,0,
0|0|0|0|100|4|#1,37500,0,#3,37666.67,0,#2,37833.34,0,#0,38000,0,#2,38166.67,0,#1,38333.34,0,
0|0|0|0|100|4|#0,38666.67,0,#3,38750,0,#0,38833.34,0,#1,39000,0,#0,39166.67,0,#2,39333.34,0,#3,39500,0,#1,39666.67,0,
0|0|0|0|100|4|#0,40166.67,0,#3,40333.34,0,#1,40500,0,#2,40666.67,0,#3,40833.34,0,#1,41000,0,#3,41166.67,0,
0|0|0|0|100|4|#0,41333.34,0,#4,41333.34,0,#1,41500,0,#5,41500,0,#0,41666.67,0,#6,41666.67,0,#3,41833.34,0,#7,41833.34,0,#2,42000,0,#6,42000,0,#5,42166.67,0,#3,42333.34,0,#4,42333.34,0,#5,42500,0,
1|0|0|0|100|4|#4,42833.34,0,#7,43000,0,#6,43166.67,0,#5,43333.34,0,#4,43666.67,0,
1|0|0|0|100|4|#6,44166.67,0,#7,44333.34,0,#5,44500,0,#6,44666.67,0,#4,45000,0,
1|0|0|0|100|4|#4,45333.34,0,#5,45666.67,0,#7,46000,0,#5,46333.34,0,
1|0|0|0|100|4|#6,46666.67,0,#7,47000,0,#4,47333.34,0,#5,47333.34,0,
1|0|0|0|100|4|#5,48166.67,0,#7,48333.34,0,#6,48500,0,#4,48666.67,0,#6,48833.34,0,#5,49000,0,
1|0|0|0|100|4|#4,49333.34,0,#7,49416.67,0,#4,49500,0,#5,49666.67,0,#4,49833.34,0,#6,50000,0,#7,50166.67,0,#5,50333.34,0,
1|0|0|0|100|4|#4,50833.34,0,#7,51000,0,#5,51166.67,0,#6,51333.34,0,#7,51500,0,#5,51666.67,0,#7,51833.34,0,
1|0|0|0|100|4|#4,52000,0,#4,52166.67,0,#6,52333.34,0,#6,52500,0,#7,52666.67,0,#7,53000,0,#5,53000,0,
0|0|0|0|100|4|#2,53333.34,0,#0,53666.67,0,#1,53833.34,0,#2,54000,0,#0,54333.34,0,#3,54500,0,
0|0|0|0|100|4|#2,54666.67,0,#3,54833.34,0,#0,55000,0,#1,55166.67,0,#2,55333.34,0,#0,55666.67,0,#3,55833.34,0,
1|0|0|0|100|4|#6,56000,0,#4,56333.34,0,#5,56500,0,#6,56666.67,0,#4,57000,0,#7,57166.67,0,
1|0|0|0|100|4|#6,57333.34,0,#7,57500,0,#4,57666.67,0,#5,57833.34,0,#6,58000,0,#4,58333.34,0,#7,58500,0,
0|0|0|0|100|4|#1,58666.67,0,#0,59000,0,#3,59166.67,0,#1,59333.34,0,#2,59666.67,0,
0|0|0|0|100|4|#1,60000,0,#0,60333.34,0,#0,60500,0,#3,60666.67,0,#3,60833.34,0,#3,61000,0,#3,61166.67,0,
1|0|0|0|100|4|#5,61333.34,0,#4,61666.67,0,#7,61833.34,0,#5,62000,0,#6,62333.34,0,
1|0|0|0|100|4|#5,62666.67,0,#0,62666.67,0,#1,62833.34,0,#4,63000,0,#2,63000,0,#4,63166.67,0,#3,63166.67,0,#7,63333.34,0,#2,63333.34,0,#7,63500,0,#1,63500,0,#7,63666.67,0,#0,63666.67,0,#1,63833.34,333.3333,#7,63833.34,0,
0|0|0|0|100|4|#2,64333.34,0,#1,64500,0,#3,64666.67,0,
0|0|0|0|100|4|#1,65500,0,#3,65666.67,0,#0,66000,0,
0|0|0|0|100|4|#2,67000,0,#1,67333.34,0,#0,67666.67,0,#1,67833.34,0,
0|0|0|0|100|4|#2,68000,0,#4,68000,0,#3,68166.67,0,#5,68166.67,0,#0,68333.34,0,#6,68333.34,0,#3,68500,0,#7,68500,0,#2,68666.67,0,#6,68666.67,0,#5,68833.34,0,#4,69000,0,#5,69166.67,333.3333,
1|0|0|0|100|4|#6,69666.67,0,#5,69833.34,0,#7,70000,0,
1|0|0|0|100|4|#5,70833.34,0,#7,71000,0,#4,71333.34,0,
1|0|0|0|100|4|#6,72333.34,0,#5,72666.67,0,#4,73000,0,#5,73166.67,0,
1|0|0|0|100|4|#6,73333.34,0,#7,73500,0,#4,73666.67,0,#7,73833.34,0,#6,74000,0,
0|0|0|0|100|4|#2,74666.67,0,#0,75000,0,#1,75166.67,0,#2,75333.34,0,#0,75666.67,0,#3,75833.34,0,
0|0|0|0|100|4|#2,76000,0,#3,76166.67,0,#0,76333.34,0,#1,76500,0,#2,76666.67,0,#2,77000,0,
1|0|0|0|100|4|#6,77333.34,0,#4,77666.67,0,#5,77833.34,0,#6,78000,0,#4,78333.34,0,#7,78500,0,
1|0|0|0|100|4|#6,78666.67,0,#7,78833.34,0,#4,79000,0,#5,79166.67,0,#6,79333.34,0,#6,79666.67,0,
0|0|0|0|100|4|#1,80000,0,#0,80333.34,0,#3,80500,0,#1,80666.67,0,#2,81000,0,
0|0|0|0|100|4|#1,81333.34,0,#1,81666.67,0,#1,82000,0,
1|0|0|0|100|4|#5,82666.67,0,#4,83000,0,#7,83166.67,0,#5,83333.34,0,#6,83666.67,0,
1|0|0|0|100|4|#5,84000,0,#5,84333.34,0,#5,84666.67,0,
1|0|0|0|100|4|
